district,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,228,2,241,0,6,63,1,0,0,541
Changlang,765,60,502,0,9,185,172,0,35,1728
Dibang Valley,138,0,132,0,0,22,3,0,0,295
East Kameng,91,0,91,0,0,17,2,0,1,202
East Siang,1060,13,885,12,28,133,606,73,1078,3888
Kamle,129,2,115,0,0,28,2,0,1,277
Kra Daadi,267,1,329,0,21,88,8,0,54,768
Kurung Kumey,103,0,0,2,13,32,118,0,1,269
Lepa Rada,345,1,242,0,65,36,5,0,2,696
Lohit,1708,13,1644,0,56,609,4,0,10,4044
Longding,588,3,6,0,1,70,558,0,35,1261
Lower Dibang Valley,858,54,666,0,63,241,464,1,1,2348
Lower Siang,344,0,219,0,6,24,84,0,4,681
Lower Subansiri,801,16,411,4,110,105,326,52,111,1936
Namsai,1423,33,986,0,46,289,1752,0,15,4544
Pakke Kessang,146,2,288,0,1,65,14,0,19,535
Papum Pare,4720,135,4483,33,194,881,7369,189,5261,23265
Shi Yomi,0,0,11,0,0,0,6,0,1,18
Siang,146,0,177,0,33,10,1,0,2,369
Tawang,340,11,589,3,17,54,594,72,35,1715
Tirap,511,1,280,0,3,150,233,1,10,1189
Upper Siang,262,0,214,0,6,51,1,0,1,535
Upper Subansiri,643,8,490,0,101,55,12,0,66,1375
West Kameng,931,14,1325,25,58,302,1127,169,63,4014
West Siang,639,4,988,13,60,177,38,59,41,2019
