district,Target,Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Amt. %
Anjaw,20,0,0,0,0,0
Changlang,0,0,0,0,0,0
Dibang Valley,20,0,0,0,0,0
East Kameng,120,0,0,0,0,0
East Siang,90,5,14,2,0,0
Kamle,40,0,0,0,0,0
Kra Daadi,70,36,51,2,0,0
Kurung Kumey,120,1,1,0,0,0
Lepa Rada,80,0,58,9,0,0
Lohit,80,20,26,0,0,0
Longding,0,0,0,0,0,0
Lower Dibang Valley,80,6,40,5,1,4.09
Lower Siang,80,0,6,0,0,0
Lower Subansiri,80,21,98,11,3,0.4
Namsai,130,4,52,7,0,0
Pakke Kessang,90,0,19,2,0,0
Papum Pare,140,11,444,143,95,22.69
Shi Yomi,20,0,0,0,0,0
Siang,70,6,22,1,0,0
Tawang,100,7,7,5,0,0
Tirap,0,0,1,0,0,0
Upper Siang,120,0,4,1,0,0
Upper Subansiri,70,13,88,6,2,1.13
West Kameng,70,0,0,0,0,0
West Siang,70,12,59,5,0,0
