district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,251,848.94,33,149.5
Changlang,1231,4293.35,155,722.83
Dibang Valley,363,1347.39,86,223.05
East Kameng,785,3747.34,101,466.93
East Siang,4245,13040.63,671,2741.17
Kamle,99,258.9,20,41.11
Kra Daadi,997,5125.39,375,1673.76
Kurung Kumey,458,1530.14,36,133.43
Lepa Rada,606,2074.72,46,303.12
Lohit,1679,4377.1,279,571.93
Longding,540,1793.32,87,228.15
Lower Dibang Valley,1117,3383.9,231,623.65
Lower Siang,332,1494.54,57,339.02
Lower Subansiri,1902,6623.27,280,969.43
Namsai,1450,4577.45,183,773.37
Pakke Kessang,208,512.11,14,45.92
Papum Pare,19238,71616.52,2616,11386.77
Shi Yomi,112,301.07,16,43.37
Siang,185,742.65,24,133.77
Tawang,774,3362.01,154,835.06
Tirap,907,3574.88,114,515.52
Upper Siang,486,1517.22,46,238.91
Upper Subansiri,1294,5857.04,148,824.21
West Kameng,1763,6859.45,375,1367.58
West Siang,1477,6313.31,206,1310.88
