District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,54,0,0,0,54
Changlang,296,372,0,0,668
Dibang Valley,8,14,0,0,22
East Kameng,6,1406,0,0,1412
East Siang,126,675,0,2,803
Kamle,15,0,0,0,15
Kra Daadi,13,0,0,0,13
Kurung Kumey,5,29,0,0,34
Lepa Rada,60,477,0,0,537
Lohit,680,327,0,0,1007
Longding,69,40,0,0,109
Lower Dibang Valley,165,138,0,0,303
Lower Siang,8,1,0,0,9
Lower Subansiri,158,757,0,0,915
Namsai,748,201,0,0,949
Pakke Kessang,95,0,0,0,95
Papum Pare,3188,1513,7,118,4826
Shi Yomi,0,0,0,0,0
Siang,5,0,0,0,5
Tawang,0,14,0,0,14
Tirap,109,1202,0,0,1311
Upper Siang,0,61,0,0,61
Upper Subansiri,50,690,0,0,740
West Kameng,55,613,0,0,668
West Siang,273,173,0,0,446
