district,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Anjaw,0,2446,2446,3961,12
Changlang,0,36525,35064,57953,56
Dibang Valley,0,369,339,4503,41
East Kameng,0,11400,10502,33987,19
East Siang,17,35553,32225,39255,250
Kamle,0,660,660,2315,4
Kra Daadi,0,2550,2550,3423,29
Kurung Kumey,0,2664,1724,24334,59
Lepa Rada,0,2574,2090,12274,51
Lohit,0,9320,8861,23414,214
Longding,0,9854,9854,9362,21
Lower Dibang Valley,28,6259,6237,26935,194
Lower Siang,16,15046,15046,4830,10
Lower Subansiri,10,8959,7927,26861,387
Namsai,1,14320,12845,35699,356
Pakke Kessang,0,449,449,2160,6
Papum Pare,6,40713,31311,125619,1525
Shi Yomi,0,1657,1371,5991,1
Siang,0,3664,3664,2878,3
Tawang,1,4865,2643,23462,51
Tirap,0,11928,10588,25067,47
Upper Siang,0,2354,2111,24693,11
Upper Subansiri,0,15549,11933,34018,144
West Kameng,4,10953,9491,36472,235
West Siang,4,9787,6785,27901,75
