district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,13314,3130,4432
Changlang,124034,33065,46064
Dibang Valley,7525,2512,3093
East Kameng,66459,9387,12670
East Siang,208160,83984,35118
Kamle,6712,1777,2390
Kra Daadi,9332,2645,3211
Kurung Kumey,28847,4159,3001
Lepa Rada,25696,10070,5105
Lohit,51545,20020,18331
Longding,32968,8224,11903
Lower Dibang Valley,58174,20069,12608
Lower Siang,100446,23957,5489
Lower Subansiri,75903,29079,16862
Namsai,75697,39790,31311
Pakke Kessang,4395,1715,1298
Papum Pare,389823,156126,138671
Shi Yomi,9250,2667,2299
Siang,20389,10167,3586
Tawang,54949,13175,14702
Tirap,54588,14290,12878
Upper Siang,43615,19062,9152
Upper Subansiri,89219,34561,16853
West Kameng,82413,27834,26243
West Siang,85013,35270,14763
