District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,Total OPS NPA
Anjaw,0,0,0,0,0,0,0
Changlang,0,1,0,0,0,12,13
Dibang Valley,0,0,1,0,0,1,2
East Kameng,0,0,5,0,0,0,5
East Siang,0,0,20,0,0,6,26
Kamle,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0
Kurung Kumey,0,0,4,0,0,7,11
Lepa Rada,0,0,4,0,0,0,4
Lohit,0,0,4,0,0,6,10
Longding,0,0,0,0,0,0,0
Lower Dibang Valley,0,0,3,0,0,2,5
Lower Siang,0,0,6,0,0,0,6
Lower Subansiri,0,0,21,0,0,30,51
Namsai,0,1,3,0,0,3,7
Pakke Kessang,0,0,0,0,0,0,0
Papum Pare,0,7,108,3,0,180,298
Shi Yomi,0,0,1,0,0,1,2
Siang,0,0,2,0,0,0,2
Tawang,0,0,1,0,0,12,13
Tirap,0,0,0,0,0,0,0
Upper Siang,0,0,0,0,0,0,0
Upper Subansiri,0,2,6,0,0,11,19
West Kameng,0,1,6,0,0,10,17
West Siang,0,0,13,18,0,4,35
