district,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,2,3,1,0,0,0
Changlang,17,18,3,0,0,0
Dibang Valley,8,6,0,0,0,0
East Kameng,27,170,0,0,0,0
East Siang,78,134,25,12,0,0
Kamle,1,0,0,0,0,0
Kra Daadi,8,28,1,0,0,0
Kurung Kumey,16,0,0,0,0,0
Lepa Rada,38,57,4,2,0,2
Lohit,17,11,3,0,0,0
Longding,0,8,2,0,0,0
Lower Dibang Valley,5,5,3,0,0,0
Lower Siang,25,80,7,0,0,0
Lower Subansiri,74,65,16,0,0,0
Namsai,13,9,3,0,0,0
Pakke Kessang,16,5,1,1,0,1
Papum Pare,648,1579,144,71,0,52
Shi Yomi,2,2,0,0,0,0
Siang,4,0,3,0,0,0
Tawang,17,20,2,0,0,0
Tirap,17,4,1,0,0,0
Upper Siang,4,1,1,0,0,0
Upper Subansiri,56,154,3,0,0,0
West Kameng,49,43,6,0,0,3
West Siang,76,167,12,3,0,3
