District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,0,0,0,79,563,642,4
Changlang,3,0,18,830,3249,4100,59
Dibang Valley,5,0,4,170,727,906,53
East Kameng,2,0,170,505,2158,2835,119
East Siang,117,1,93,1683,7398,9292,163
Kamle,8,0,0,38,180,226,11
Kra Daadi,7,0,30,806,1953,2796,85
Kurung Kumey,2,0,0,69,895,966,113
Lepa Rada,1,0,57,362,1165,1585,16
Lohit,8,1,11,696,2510,3226,56
Longding,22,0,8,338,1705,2073,48
Lower Dibang Valley,19,0,5,603,2804,3431,58
Lower Siang,2,0,80,211,1221,1514,8
Lower Subansiri,37,0,65,930,3720,4752,347
Namsai,20,0,9,417,2278,2724,142
Pakke Kessang,4,0,5,57,361,427,10
Papum Pare,290,5,1594,7137,25213,34239,1685
Shi Yomi,0,0,2,24,223,249,43
Siang,0,0,0,140,417,557,7
Tawang,34,0,21,584,2795,3434,82
Tirap,1,0,4,645,2563,3213,45
Upper Siang,16,0,1,201,1202,1420,23
Upper Subansiri,5,0,154,636,2976,3771,171
West Kameng,76,0,50,933,4476,5535,95
West Siang,155,0,163,830,3699,4847,96
