District,Self Help Groups Amt,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.,Total Weaker Section O/S Amt,Total Weaker Section O/S No.,Others Amt,Others No,PMJDY Amt,PMJDY No,Minority Communities Amt,Minority Communities No.,Women Beneficiaries Amt,Women Beneficiaries No.
East Garo Hills,149.96,209,15.29,4,1139.73,1161,23.56,7,3145.91,6412,18942.59,19436,65.94,63,8604.4,15,4014.57,6951,1783.23,4614
East Khasi Hills,1382.24,1541,26.07,161,143306.01,65739,2848.52,1859,21898.44,36939,319875.87,199116,10366.34,681,230.58,1469,125804.34,61067,14013.33,29660
North Garo Hills,41.93,46,0.85,5,1371.76,1459,68.47,34,3558.57,6287,13681.89,16419,32.23,32,3900,4,3091.64,5310,1616.44,3242
Ri Bhoi,2282.61,2443,4.92,38,24289.96,26326,1388.67,776,30153.24,49044,115053.07,156712,340.2,1511,2369.99,309,40838.65,50427,13384.83,25838
South Garo Hills,271.58,302,0,0,947.76,903,9.43,13,765.46,1565,5849.21,6132,69.69,79,1770,2,1577.56,2241,437.73,1027
South West Garo Hills,775.79,882,0,0,2980.61,3321,103.38,78,4178.63,8263,16068.14,25798,124.91,51,435.5,1,5404.39,8343,2064.93,4859
South West Khasi Hills,1030.81,810,0,0,5910.91,5301,6.15,12,2440.14,4356,16844.27,19224,23.26,26,0,0,6253.4,6191,1179.6,2528
West Garo Hills,1488.21,1946,0.24,2,15402.15,12116,261.36,143,6513.43,12742,51278.87,58389,960.08,1402,1742.4,8,21215.3,19175,3695.7,10855
West Khasi Hills,3108.21,2712,2.27,15,27335.82,22426,3.27,2,11757.46,21178,78333.15,87880,293.04,921,14.25,82,30573.54,28724,5245.29,11820
