District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No
East Garo Hills,719.28,799,346.67,82,226.31,205,146.3,512
East Khasi Hills,6433.5,5509,2595.64,503,2947.21,2332,890.65,2674
North Garo Hills,481.11,289,264.77,69,207.74,201,8.6,19
Ri Bhoi,1373.8,847,687.91,176,656.76,524,29.13,147
South Garo Hills,519.04,235,321.83,73,190.8,135,6.41,27
South West Garo Hills,663.78,443,248.29,73,405.09,330,10.4,40
South West Khasi Hills,210.66,160,95.67,16,113.56,131,1.43,13
West Garo Hills,3574.96,2785,1946.06,479,1215.28,907,413.62,1399
West Khasi Hills,520.76,270,221.12,42,269.94,171,29.7,57
