District,PMAY O/S Amt,PMAY O/S No.,PMAY Current Year Disbursed Amt,PMAY Current Year Disbursed No.,PMAY Eligible Housing Loan O/S Amt,PMAY Eligible Housing Loan O/S No.,Rural Housing Loan O/S Amt,Rural Housing Loan O/S No.,Housing Loan O/S Amt (NPS),Housing Loan O/S No. (NPS),Housing Loan O/S Amt (PS),Housing Loan O/S No. (PS)
East Garo Hills,16.1,1,0,0,16.1,1,102.69,10,166.81,6,634.69,99
East Khasi Hills,3827.3,207,68.15,4,3492.4,189,4592.54,437,26813.03,997,34409.36,3687
North Garo Hills,25.47,1,154.99,7,25.47,1,455.05,50,81.36,4,729.88,154
Ri Bhoi,1348.75,75,0,0,1256.07,72,12652.53,918,5409.27,221,9666.18,901
South Garo Hills,0,0,0,0,0,0,363.47,23,87.84,3,520.64,74
South West Garo Hills,0,0,0,0,0,0,387.78,33,67.58,3,466.08,52
South West Khasi Hills,0,0,17.32,2,0,0,250.39,31,49.19,2,290.32,39
West Garo Hills,262.5,30,0,0,253.95,27,1310.44,165,1948,77,5952.78,707
West Khasi Hills,407.25,46,0,0,387.19,43,655.59,101,315.99,13,1848.36,267
