District,Total Msme NPA Amt (PS),Total Msme NPA No. (PS),Total Msme O/S Amt (PS),Total Msme O/S No. (PS),Agri Amt % NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
East Garo Hills,387.62,686,1943.91,1542,24.33,1315.63,3675,5406.43,5365
East Khasi Hills,10697.24,3314,145659.94,18020,9.85,13213.7,6162,134188.63,27986
North Garo Hills,310.25,403,1143.32,721,50.8,1944.28,4803,3827.24,6112
Ri Bhoi,1291.78,1178,48705.07,5864,33.45,8294.66,15731,24799.4,32420
South Garo Hills,274.3,252,773.06,769,30.55,753.16,2345,2465.72,2788
South West Garo Hills,328.93,271,1901.29,1090,40.66,1877.28,5403,4617.06,7897
South West Khasi Hills,92.24,55,1212.28,671,9.91,228.18,527,2303.41,2956
West Garo Hills,1814.85,1889,12859.05,7777,23.96,3116.48,8452,13009.28,13973
West Khasi Hills,727.3,516,6355.73,3765,22.73,2228.7,4459,9807.15,13906
