District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
East Garo Hills,7072,11944.04,2639,5712.99
East Jaintia Hills,2232,6200.97,991,2056.29
East Khasi Hills,72747,194419.12,26040,65779.05
North Garo Hills,5707,9616.29,1527,4012.55
Ri Bhoi,37188,60777.96,9805,18843.83
South Garo Hills,2029,5592.03,709,3057.85
South West Garo Hills,6791,9709.95,1864,3791.65
South West Khasi Hills,2766,4840.45,1127,2476.04
West Garo Hills,22519,54951.8,7402,21450.96
West Jaintia Hills,10769,20671.38,3560,7784.47
West Khasi Hills,13402,17222.8,4381,6208.81
