District,MSME Target No. (PS),Crop Amount Achv% Loan,Crop Amount Achieved Loan,Crop Loan Achieved No.,Crop Loan Target Amt,Crop Loan Target No.,Amount Achv% Agri(PS),Agri Amount Achieved (PS),Agri Achieved No. (PS),Agri Target Amt (PS),Agri Target No. (PS)
East Garo Hills,1378,6.45,630.82,1015,9780,8231,8.43,961.03,1323,11394,9364
East Khasi Hills,20463,32.87,3940.44,6430,11988,15852,19.32,6921.16,8132,35828,32272
North Garo Hills,1216,11.18,579.15,748,5182,2740,11.91,844.98,1142,7096,4109
Ri Bhoi,6399,37.09,4494.98,7012,12119,9995,26.26,6201.11,9742,23617,12380
South Garo Hills,365,7.67,344.81,428,4495,5950,8.92,513.11,526,5753,6948
South West Garo Hills,745,13.74,673.9,1016,4906,6200,14.72,955.67,1468,6492,6916
South West Khasi Hills,825,18.11,565.24,910,3122,2150,16.13,739.32,1192,4583,2840
West Garo Hills,3037,9.96,1161.61,1712,11658,14700,11.69,1846.68,3054,15798,17027
West Khasi Hills,3000,22.05,1669.89,3169,7572,5650,17.53,1962.82,3699,11195,6962
