District,Total ACP Disbursement Amt (NPS),Total ACP Disbursement No. (NPS),Other NPS Amt,A/C NPS Others,Personal Loans Amt (NPS),Personal Loans A/C (NPS),Housing Amt (NPS),Housing A/C (NPS),Amt. (NPS) Education,A/C (NPS) Education,Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,4562.38,1520,3321.05,1239,1151.28,267,87.41,11,0,0,2.64,3
East Khasi Hills,293892.67,26694,259367.01,19918,25934.22,6111,8288.3,633,299.22,28,3.92,4
North Garo Hills,3183.97,1116,2648.37,951,513.61,154,14.76,3,0,0,7.23,8
Ri Bhoi,39056.63,5546,34573.03,4612,2568.07,623,1860.44,308,0,0,55.09,3
South Garo Hills,2500.69,504,2230.74,415,264.62,80,0.34,1,0,0,4.99,8
South West Garo Hills,2647.48,945,2239.41,801,260.53,117,136.93,10,0,0,10.61,17
South West Khasi Hills,2031.45,532,1130.77,334,764.68,190,136,8,0,0,0,0
West Garo Hills,21423.37,4951,16455.82,3741,3709.56,1108,1253.92,95,0,0,4.07,7
West Khasi Hills,5192.78,1464,2075.88,776,3005.91,678,107.49,9,3.5,1,0,0
