District,Inactive CSP,Active Rupay Card in PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb Accounts,Rupay Card Issued in KCC
East Garo Hills,1,15961,15839,2930,745
East Jaintia Hills,5,11029,5976,3533,24
East Khasi Hills,11,59626,34845,58758,4618
North Garo Hills,6,31172,30801,832,829
Ri Bhoi,3,17940,8911,6105,8354
South Garo Hills,4,8671,8529,135,77
South West Garo Hills,2,22438,21972,3254,623
South West Khasi Hills,1,10094,787,96,338
West Garo Hills,10,78601,76280,19053,1327
West Jaintia Hills,1,12272,4806,2454,698
West Khasi Hills,1,14477,9339,3726,3626
