District,CD Ratio Overall,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advances,Advances Urban,Advances Semi-Urban,Advances Rural,Total Deposits,Deposits Urban,Deposits Semi-Urban,Deposits Rural
East Garo Hills,60.8,70.42,59.14,60.06,25846.95,3880.33,16418.34,5548.28,42511.38,5510.4,27762.88,9238.1
East Khasi Hills,35.28,35.14,44.63,31.4,818404.21,686308.03,57208.81,74887.37,2320036.27,1953317.71,128193.93,238524.63
North Garo Hills,54.87,,52.2,56.22,19389.3,0,6196.06,13193.24,35334.27,0,11868.73,23465.54
Ri Bhoi,92.91,69.59,37,120.64,183590.24,3234.75,23190.64,157164.85,197597.02,4648.31,62673.65,130275.06
South Garo Hills,35.59,55.45,41.02,19.48,11676.62,2283.46,7246.2,2146.96,32804.2,4118.11,17664.57,11021.52
South West Garo Hills,62.17,,72.38,60.83,20408.29,0,2759.28,17649.01,32826.55,0,3812.21,29014.34
South West Khasi Hills,33.35,,39.78,32.55,10082.65,0,1327.8,8754.85,30237.26,0,3338.19,26899.07
West Garo Hills,49.53,52.23,48.82,50.26,109556.31,9852.17,67421.06,32283.08,221182.6,18861.96,138088.78,64231.86
West Khasi Hills,34.03,31.12,38.76,27.7,35818.18,4151.27,21763.02,9903.89,105239.5,13339.29,56150.83,35749.38
