District,Total (PS) Amt. NPA Other,Total (PS) No. NPA Other,Other PS Amt,Other PS No.,Social Infra Amt,Social Infra No.,Housing Amt (PS),Housing No. (PS),Education Amt (PS),Education No. (PS)
East Garo Hills,81.77,39,0.73,3,14.68,6,63.2,28,3.16,2
East Khasi Hills,2275.67,1508,1708.6,1393,52.15,17,320.88,35,194.04,63
North Garo Hills,243.13,102,0,0,16.8,9,211.25,89,15.08,4
Ri Bhoi,308.61,258,92.4,205,6.74,3,132.89,16,76.58,34
South Garo Hills,79.21,43,0,0,24.74,12,54.47,31,0,0
South West Garo Hills,54.32,16,0,0,11.39,6,42.93,10,0,0
South West Khasi Hills,44.31,23,11.66,9,18.22,7,2.08,2,12.35,5
West Garo Hills,349.67,78,5.26,2,28.74,13,287.4,53,28.27,10
West Khasi Hills,301.7,84,156.82,38,9.92,4,41.2,9,93.76,33
