district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,104760,66.03,88233,66.03,84.22,66.03
Arwal,46018,22.88,13461,22.88,29.25,22.88
Aurangabad,228436,21.84,64709,21.84,28.33,21.84
Banka,95594,44.89,56196,44.89,58.79,44.89
Begusarai,182032,44.21,127621,44.21,70.11,44.21
Bhagalpur,225255,29.83,88740,29.83,39.40,29.83
Bhojpur,207721,29.78,120478,29.78,58.00,29.78
Buxar,212324,14.77,47748,14.77,22.49,14.77
Darbhanga,164778,50.40,134024,50.40,81.34,50.40
Gaya,232648,56.13,255934,56.13,110.01,56.13
Gopalganj,233937,30.01,97609,30.01,41.72,30.01
Jamui,97323,24.52,42496,24.52,43.66,24.52
Jehanabad,75430,29.78,26104,29.78,34.61,29.78
Kaimur (Bhabua),159981,27.91,48838,27.91,30.53,27.91
Katihar,141195,58.86,127371,58.86,90.21,58.86
Khagaria,122306,26.28,54498,26.28,44.56,26.28
Kishanganj,72294,79.76,65908,79.76,91.17,79.76
Lakhisarai,77312,23.03,27112,23.03,35.07,23.03
Madhepura,108760,39.11,72148,39.11,66.34,39.11
Madhubani,231680,37.02,117452,37.02,50.70,37.02
Munger,80746,24.57,28898,24.57,35.79,24.57
Muzaffarpur,338628,43.01,192755,43.01,56.92,43.01
Nalanda,176640,26.17,70895,26.17,40.14,26.17
Nawada,119073,34.11,66197,34.11,55.59,34.11
Pashchim Champaran,167457,49.16,135256,49.16,80.77,49.16
Patna,365313,84.81,566242,84.81,155.00,84.81
Purbi Champaran,299207,50.80,225992,50.80,75.53,50.80
Purnia,176128,48.21,115262,48.21,65.44,48.21
Rohtas,191493,37.19,70750,37.19,36.95,37.19
Saharsa,102730,37.21,53455,37.21,52.03,37.21
Samastipur,242716,34.18,128652,34.18,53.01,34.18
Saran,215905,41.25,135303,41.25,62.67,41.25
Sheikhpura,38935,26.91,16792,26.91,43.13,26.91
Sheohar,38097,37.29,21032,37.29,55.21,37.29
Sitamarhi,135173,39.64,81785,39.64,60.50,39.64
Siwan,214486,59.43,278582,59.43,129.88,59.43
Supaul,95859,41.96,59513,41.96,62.08,41.96
Vaishali,207123,119.96,563032,119.96,271.83,119.96
