District,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,Total Priority Sector A/c,Amt
Araria,212,6.41,126,2.63,0,0.00,4,0.06,5139,13.32,63198,427.84
Arwal,187,7.88,10,0.61,0,0.00,0,0.00,1063,2.27,19869,143.90
Aurangabad,738,25.71,44,2.34,0,0.00,0,0.00,3734,11.55,80853,680.13
Banka,165,4.73,28,0.88,1,0.00,1,0.01,6197,9.50,64942,427.87
Begusarai,438,14.31,147,3.91,1,0.00,5,0.01,8202,14.23,92257,657.55
Bhagalpur,248,6.78,79,3.22,0,0.00,0,0.00,5105,11.20,70530,482.14
Bhojpur,446,16.85,103,3.85,0,0.00,0,0.00,3168,8.83,70027,493.67
Buxar,256,8.61,40,1.72,0,0.00,0,0.00,1619,3.94,72019,567.25
Darbhanga,496,15.60,53,2.50,0,0.00,2,0.00,3737,10.46,43428,329.78
Gaya,794,30.67,136,7.06,0,0.00,0,0.00,3651,9.85,121212,1005.42
Gopalganj,240,6.15,762,2.48,1,0.00,2,0.01,5502,15.00,71002,449.21
Jamui,109,3.93,19,0.20,0,0.00,0,0.00,3917,7.97,70707,476.33
Jehanabad,343,12.60,17,0.98,0,0.00,1,0.00,650,1.28,28913,271.42
Kaimur (Bhabua),275,10.80,34,2.15,1,0.00,0,0.00,1746,5.46,58969,555.30
Katihar,203,5.49,98,2.84,0,0.00,5,0.03,2089,8.06,58140,427.84
Khagaria,214,6.47,20,1.09,1,0.00,0,0.00,3538,9.53,66046,399.63
Kishanganj,104,2.64,279,5.68,0,0.00,1,0.00,1255,2.81,39784,267.35
Lakhisarai,205,8.06,15,0.82,0,0.00,0,0.00,2279,4.55,40272,276.39
Madhepura,169,4.87,109,2.02,0,0.00,0,0.00,2451,6.80,44388,329.13
Madhubani,633,18.13,62,1.70,0,0.00,8,0.02,5375,13.17,57653,398.95
Munger,169,5.34,38,2.19,0,0.00,0,0.00,3631,6.14,44865,289.12
Muzaffarpur,786,23.81,174,10.32,0,0.00,9,0.04,10634,29.70,135201,921.91
Nalanda,819,25.52,56,3.98,0,0.00,0,0.00,1943,4.66,87767,703.16
Nawada,295,10.86,37,1.48,0,0.00,0,0.00,2224,6.14,66764,480.08
Pashchim Champaran,334,9.75,25,1.27,1,0.00,0,0.00,14483,27.93,90226,587.22
Patna,1772,54.13,483,33.92,4,2.53,0,0.00,11450,28.47,203508,2380.90
Purbi Champaran,383,11.37,60,2.32,1,0.00,0,0.00,12289,28.02,127402,903.00
Purnia,267,7.92,526,9.06,0,0.00,0,0.00,3436,6.83,82593,622.77
Rohtas,688,24.38,169,9.14,0,0.00,1,0.01,5654,12.61,104262,1041.99
Saharsa,235,6.81,66,1.13,0,0.00,1,0.01,1214,2.90,40037,319.46
Samastipur,527,17.01,60,2.85,0,0.00,2,0.01,6420,20.40,119330,851.46
Saran,578,16.33,94,2.75,0,0.00,14,0.04,5706,15.67,82558,612.24
Sheikhpura,141,4.74,14,0.46,0,0.00,0,0.00,1306,2.71,21908,158.47
Sheohar,62,1.80,60,0.57,0,0.00,0,0.00,580,1.50,17155,109.05
Sitamarhi,356,10.14,56,2.21,0,0.00,7,0.01,3318,11.07,66201,493.78
Siwan,495,16.84,49,2.84,0,0.00,2,0.01,4774,14.97,60908,494.90
Supaul,268,8.73,131,2.04,0,0.00,0,0.00,1899,3.71,52957,385.73
Vaishali,661,18.56,322,5.37,0,0.00,72,0.15,6420,14.63,86928,644.83
