District,BHIM/UPI No.,Amt.,BHIM Aadhaar No.,Amt.,Bharat QR Code No.,Amt.,IMPS No.,Amt.,Cards (Debit & Credit) No.,Amt.,USSD No.,Amt.
Araria,97178830,18257.67,56759,22.39,17353,14.58,911797,48903.00,995062,473.29,47188,18.10
Arwal,18944495,3966.67,109252,375.92,3852,2.49,281737,3921.35,286271,138.53,47531,11.02
Aurangabad,80187345,15917.15,292925,1078.66,50560,11.84,1025132,21239.38,1156213,594.35,127355,39.63
Banka,40088260,6465.72,98433,307.56,11083,4.09,951823,5974.82,539028,250.45,57917,18.58
Begusarai,111051178,62990.87,236636,949.96,69184,17.47,2576126,22578.84,1718724,769.37,219348,63.17
Bhagalpur,114138003,24383.19,128782,324.87,385074,34.16,2800678,43478.96,1977592,927.32,276979,100.04
Bhojpur,90122734,19760.96,523865,2349.51,18787,10.91,1539824,34800.57,1500698,744.98,406588,112.07
Buxar,54507310,11832.05,268716,841.87,10599,6.77,628095,18399.53,946024,451.65,170827,44.54
Darbhanga,136181626,67742.22,23634,10.91,22912,13.29,2487620,32256.95,1724976,808.92,189479,71.49
Gaya,145092380,95779.21,467951,1673.81,186838,71.37,2259290,45138.41,2372216,1150.55,312298,95.88
Gopalganj,101560051,83082.43,16351,6.81,10485,9.17,1076940,22837.12,1097091,523.51,145930,43.82
Jamui,52106188,9706.85,233333,649.59,15324,4.35,445682,6948.19,503677,251.23,62411,25.85
Jehanabad,37076317,7534.81,146467,533.56,10914,3.11,720108,6787.16,524264,254.90,95859,26.41
Kaimur (Bhabua),46875259,9615.3,237297,920.05,5089,3.48,561369,15505.32,613265,272.56,72451,22.07
Katihar,93335599,53505.62,9551,4.01,12158,9.32,758482,38019.94,724740,407.59,222449,51.74
Khagaria,54531844,10585.29,249517,734.66,74631,8.89,523917,15946.62,552161,236.57,74868,21.47
Kishanganj,67818994,13656.63,31104,12.9,10813,10.88,513973,11555.15,621924,292.09,37931,15.46
Lakhisarai,28248279,5718.41,155767,520.77,6088,2.59,300347,4961.63,303441,159.85,65556,18.68
Madhepura,63571257,12509,11109,4.85,17656,6.52,476328,17335.35,335164,160.66,62165,23.89
Madhubani,125751576,85266.69,20267,9.28,24567,10.94,1550798,16046.51,1330318,592.62,155998,45.71
Munger,49483102,9004.75,151359,399.09,17773,5.46,547415,9027.91,833853,375.03,163547,48.12
Muzaffarpur,234271707,172978.55,29735,13.03,259645,37.74,4040064,68583.98,3739214,1615.68,490196,154.6
Nalanda,85421041,20567.36,490697,1754.97,20047,10.2,1388375,23030.18,1612750,814.83,147521,50.8
Nawada,50812118,12188.28,420308,1437.29,8806,6.56,740025,11434.14,727515,377.66,80172,25.04
Pashchim Champaran,159746472,27373.74,24982,9.19,50689,17.82,1031497,41467.02,1409237,640.94,134472,43.05
Patna,460908817,578352.51,186467,1122.03,507757,138.64,10617274,264888.41,12674041,6049.64,1783911,623.98
Purbi Champaran,192445234,35807.84,29148,12.72,70365,21.84,1224958,38782.47,1465344,709.28,201925,68.94
Purnia,125868912,23997.85,15297,6.61,20697,9.55,1814526,49234.28,1258567,624.85,122831,49.41
Rohtas,99754270,21933.44,419321,1398.13,51581,12.55,1035396,35102.41,1515778,723.03,189895,51.28
Saharsa,60047610,10737.72,15575,7.04,6942,4.98,430052,15177.46,377132,177.84,76160,27.03
Samastipur,159159583,85817.34,396179,1256,50839,10.74,2219191,22059.99,1947660,912.71,182354,55.07
Saran,143190398,63034.93,23125,8.34,157951,22.79,1454539,34201,1467984,668.36,363660,99.94
Sheikhpura,20260501,4652.29,63430,174.85,86755,8.24,179969,10256.77,399900,197.25,30191,9.07
Sheohar,20688451,4099.03,31455,10.68,9342,3.8,186823,10251.39,338502,136.98,10737,3.78
Sitamarhi,105098739,18784.52,87667,32.66,11119,7.65,966436,14386.15,1406003,551.28,87720,28.01
Siwan,151570625,29442.01,17678,8.22,25719,16.97,4736932,41355.27,1918380,921.61,165622,47.8
Supaul,64806644,12662.26,15196,6.94,5534,3.55,578362,16253.07,379239,191.37,52645,17.53
Vaishali,131229033,58010.43,12480,6.01,204787,37.88,4253094,56061.54,1740935,838.2,245364,72.94
