district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastri_no,amt,jains_no,amt,total_no,amt
Araria,228,830.32,95918,830.32,29,830.32,81,830.32,2,830.32,127,830.32,96385,830.32
Arwal,36,28.44,2875,28.44,11,28.44,26,28.44,0,28.44,14,28.44,2962,28.44
Aurangabad,120,145.89,11737,145.89,38,145.89,69,145.89,7,145.89,82,145.89,12053,145.89
Banka,99,104.75,12987,104.75,24,104.75,82,104.75,1,104.75,19,104.75,13212,104.75
Begusarai,171,316.19,41530,316.19,1339,316.19,111,316.19,2,316.19,93,316.19,43246,316.19
Bhagalpur,201,422.91,42124,422.91,535,422.91,130,422.91,2,422.91,79,422.91,43071,422.91
Bhojpur,152,187.33,38033,187.33,34,187.33,95,187.33,0,187.33,58,187.33,38372,187.33
Buxar,51,71,6970,71,27,71,73,71,1,71,39,71,7161,71
Darbhanga,278,466.14,41014,466.14,847,466.14,92,466.14,4,466.14,52,466.14,42287,466.14
Gaya,3433,591.21,94643,591.21,15074,591.21,1309,591.21,377,591.21,198,591.21,115034,591.21
Gopalganj,145,253.73,22829,253.73,95,253.73,108,253.73,3,253.73,59,253.73,23239,253.73
Jamui,209,117.04,12833,117.04,58,117.04,101,117.04,1,117.04,42,117.04,13244,117.04
Jehanabad,5,47.35,4506,47.35,5,47.35,12,47.35,0,47.35,8,47.35,4536,47.35
Kaimur (Bhabua),45,93.41,7986,93.41,16,93.41,34,93.41,1,93.41,25,93.41,8107,93.41
Katihar,1112,890.32,86786,890.32,66,890.32,244,890.32,2,890.32,44,890.32,88254,890.32
Khagaria,67,89.28,9686,89.28,29,89.28,50,89.28,5,89.28,23,89.28,9860,89.28
Kishanganj,697,1103.91,120621,1103.91,45,1103.91,51,1103.91,0,1103.91,111,1103.91,121525,1103.91
Lakhisarai,20,24.7,2928,24.7,4,24.7,30,24.7,9,24.7,16,24.7,3007,24.7
Madhepura,132,172.81,36232,172.81,46,172.81,68,172.81,1,172.81,85,172.81,36564,172.81
Madhubani,177,402.41,46555,402.41,40,402.41,75,402.41,4,402.41,46,402.41,46897,402.41
Munger,108,99.94,7634,99.94,25,99.94,104,99.94,3,99.94,29,99.94,7903,99.94
Muzaffarpur,734,710.4,102285,710.4,1157,710.4,528,710.4,6,710.4,202,710.4,104912,710.4
Nalanda,174,145.04,11954,145.04,220,145.04,78,145.04,6,145.04,55,145.04,12487,145.04
Nawada,62,109.67,11723,109.67,48,109.67,23,109.67,0,109.67,39,109.67,11895,109.67
Pashchim Champaran,559,455.41,43235,455.41,109,455.41,188,455.41,3,455.41,102,455.41,44196,455.41
Patna,1505,1888.69,340143,1888.69,2408,1888.69,738,1888.69,19,1888.69,271,1888.69,345084,1888.69
Purbi Champaran,356,749.34,89778,749.34,708,749.34,257,749.34,269,749.34,171,749.34,91539,749.34
Purnia,778,1123.55,116169,1123.55,322,1123.55,145,1123.55,5,1123.55,91,1123.55,117510,1123.55
Rohtas,125,186.97,15407,186.97,90,186.97,354,186.97,13,186.97,51,186.97,16040,186.97
Saharsa,244,192.56,21150,192.56,35,192.56,64,192.56,1,192.56,14,192.56,21508,192.56
Samastipur,322,298.25,30055,298.25,133,298.25,252,298.25,6,298.25,100,298.25,30868,298.25
Saran,216,235.34,22616,235.34,117,235.34,176,235.34,11,235.34,80,235.34,23216,235.34
Sheikhpura,95,34.94,2696,34.94,54,34.94,57,34.94,3,34.94,27,34.94,2932,34.94
Sheohar,13,42.04,4483,42.04,37,42.04,19,42.04,1,42.04,10,42.04,4563,42.04
Sitamarhi,128,253.66,24422,253.66,133,253.66,243,253.66,0,253.66,43,253.66,24969,253.66
Siwan,1548,688.5,166419,688.5,286,688.5,165,688.5,4,688.5,68,688.5,168490,688.5
Supaul,341,188.35,16294,188.35,77,188.35,72,188.35,1,188.35,32,188.35,16817,188.35
Vaishali,754,906.26,360168,906.26,275,906.26,267,906.26,8,906.26,98,906.26,361570,906.26
