District,"1 AGRICULTURE TOTAL
0/S","TOTAL
NPA",%AGE,"2 MSME TOTAL
0/S","TOTAL
NPA",%AGE,"3 OPS TOTAL
0/S","TOTAL
NPA",%AGE,4 TOTAL PRIORITY SECTOR TOTAL 0/S,"TOTAL
NPA",%AGE,5 NPS TOTAL 0/S,"TOTAL
NPA",%AGE,6 NPA IN TOTAL ADVANCE TOTAL 0/S,"TOTAL
NPA",%AGE
Araria,1944.15,323.84,16.66,1187.80,81.58,6.87,331.17,22.42,6.77,3463.11,427.84,12.35,1885.00,46.08,2.44,5347.66,473.92,8.86
Arwal,380.97,101.81,26.72,228.52,31.33,13.71,56.94,10.76,18.90,666.44,143.90,21.59,383.00,10.49,2.74,1049.29,154.39,14.71
Aurangabad,1739.07,539.25,31.01,1043.45,101.28,9.71,286.54,39.60,13.82,3069.05,680.13,22.16,2792.00,35.12,1.26,5860.76,715.25,12.20
Banka,1109.21,292.28,26.35,522.90,120.47,23.04,220.34,15.12,6.86,1852.45,427.87,23.10,981.00,23.12,2.36,2833.56,450.99,15.92
Begusarai,2844.38,492.59,17.32,2655.40,132.50,4.99,502.14,32.46,6.46,6001.92,657.55,10.96,3341.00,57.34,1.72,9343.18,714.89,7.65
Bhagalpur,1830.66,338.34,18.48,2618.92,122.60,4.68,660.06,21.20,3.21,5109.64,482.14,9.44,4480.00,85.14,1.90,9590.07,567.28,5.92
Bhojpur,1702.08,362.70,21.31,1082.74,101.44,9.37,347.49,29.53,8.50,3132.31,493.67,15.76,2496.00,45.48,1.82,5628.08,539.15,9.58
Buxar,1189.18,451.95,38.01,704.71,101.03,14.34,235.92,14.27,6.05,2129.80,567.25,26.63,1397.00,25.89,1.85,3526.40,593.14,16.82
Darbhanga,2141.02,180.72,8.44,1885.06,120.50,6.39,508.64,28.56,5.61,4534.72,329.78,7.27,3848.00,55.33,1.44,8382.45,385.11,4.59
Gaya,3816.29,664.29,17.41,2747.60,293.55,10.68,749.92,47.58,6.34,7313.82,1005.42,13.75,4857.00,110.75,2.28,12171.21,1116.17,9.17
