District,"Loans to weaker sections under
Priority Sector No.",Amt.,"Out of Loans to weaker Sections in
PSL, loans to individual women
beneficiaries up to ₹1 lakh No.",Amt.,"Agriculture, loans to Small
& Marginal Farmers No.",Amt.
Araria,19622,59.07,102166,321.88,154861,1193.51
Arwal,5949,9.91,19449,65.00,35447,309.33
Aurangabad,14166,19.05,76138,271.45,156614,1392.66
Banka,25553,59.21,69477,239.29,94235,653.46
Begusarai,62234,196.63,125177,502.85,212530,1751.56
Bhagalpur,64584,257.07,139918,545.08,172083,1279.56
Bhojpur,39563,106.55,92307,324.67,135465,1099.42
Buxar,16563,24.34,57871,213.60,118667,952.92
Darbhanga,40154,136.35,81591,278.80,149032,926.89
Gaya,30170,56.08,246209,743.87,239637,2218.93
Gopalganj,393,1.77,75212,254.57,152184,1178.65
Jamui,13908,3.02,63805,260.56,116763,940.06
Jehanabad,12076,30.90,20536,74.73,52391,536.10
Kaimur (Bhabua),4317,1.14,41976,148.25,107390,1033.76
Katihar,21464,67.18,83728,281.79,136434,1221.12
Khagaria,26622,51.86,66421,263.61,161502,1187.40
Kishanganj,3911,7.97,60713,204.37,110049,867.18
Lakhisarai,8910,7.85,34537,146.54,63788,534.65
Madhepura,19906,50.40,59522,183.71,160572,980.40
Madhubani,20080,54.77,75470,224.39,236252,1262.39
Munger,16062,32.58,48972,188.49,68019,488.67
Muzaffarpur,234276,606.44,355086,1020.21,483090,2845.09
Nalanda,24907,35.41,73270,267.30,143945,1482.63
Nawada,19950,9.79,71626,261.94,122473,1182.53
Pashchim Champaran,11459,33.50,123050,390.02,228400,1666.20
Patna,883314,2411.97,1015400,2850.04,959566,4364.82
Purbi Champaran,31028,107.98,149002,508.08,317590,2733.15
Purnia,46990,164.28,123230,426.10,195862,1530.70
Rohtas,19924,34.19,88079,287.81,172581,1636.70
Saharsa,37665,120.65,54260,184.77,119117,1051.48
Samastipur,82030,218.08,164600,612.88,311455,2305.25
Saran,16348,50.22,152552,515.42,205426,1524.51
Sheikhpura,5907,1.16,23855,102.86,41391,372.28
Sheohar,2184,7.02,8388,24.89,30496,267.88
Sitamarhi,11336,38.67,48921,172.69,143422,1240.40
Siwan,64786,139.99,181515,539.98,222987,1358.75
Supaul,844,1.19,23353,81.27,92910,974.56
Vaishali,14975,67.26,95314,338.85,172580,1434.83
