District,Rural,Semi-Urban,Urban,Total
Araria,16,89,4,109
Arwal,15,17,0,32
Aurangabad,36,50,59,145
Banka,32,60,0,92
Begusarai,29,61,108,198
Bhagalpur,33,78,183,294
Bhojpur,26,43,128,197
Buxar,21,19,60,100
Darbhanga,22,31,161,214
Gaya,63,50,217,330
Gopalganj,50,105,0,155
Jamui,15,46,3,64
Jehanabad,13,5,62,80
Kaimur (Bhabua),19,49,0,68
Katihar,29,13,76,118
Khagaria,7,69,3,79
Kishanganj,10,11,54,75
Lakhisarai,7,36,2,45
Madhepura,8,79,0,87
Madhubani,25,152,3,180
Munger,20,10,85,115
Muzaffarpur,67,47,290,404
Nalanda,47,47,100,194
Nawada,5,66,0,71
Pashchim Champaran,29,62,114,205
Patna,93,173,1230,1496
Purbi Champaran,30,71,130,231
Purnia,25,27,129,181
Rohtas,28,30,113,171
Saharsa,8,8,84,100
Samastipur,44,169,4,217
Saran,53,39,142,234
Sheikhpura,6,34,0,40
Sheohar,8,17,4,29
Sitamarhi,23,104,6,133
Siwan,40,38,113,191
Supaul,11,78,0,89
Vaishali,32,48,143,223
