District,"Micro Enterprises
(Manufacturing + Service)
(including Khadi & Village
Industries) A/c",Amt,"Small Enterprises
(Manufacturing + Service)s A/c",Amt,"Medium Enterprises
(Manufacturing + Service) A/c",Amt,"Other finance to MSMEs (As
indicated in Master Direction on
PSL) A/c",Amt,Total MSMEs (PS) A/c,Amt
Araria,33590,839.19,562,302.92,34,41.37,11,4.32,34197,1187.8
Arwal,7192,179.03,178,48.4,16,1.05,1,0.05,7387,228.52
Aurangabad,20781,766.48,513,255.1,95,20.5,18,1.37,21407,1043.45
Banka,23278,415.59,246,107.23,1,0.01,15,0.07,23540,522.9
Begusarai,53559,1641.68,1596,633.57,167,375.92,15,4.23,55337,2655.4
Bhagalpur,65807,1818.22,1016,602.28,271,197.52,25,0.91,67119,2618.92
Bhojpur,28952,777.01,602,275.12,33,30.43,5,0.18,29592,1082.74
Buxar,18226,543.98,643,152.72,49,7.01,15,1,18933,704.71
Darbhanga,63379,1366.22,920,399.94,79,117.2,23,1.71,64401,1885.06
Gaya,60942,2017.52,1561,562.9,137,166.7,14,0.48,62654,2747.6
Gopalganj,30651,756.1,351,162.35,212,89.8,33,0.46,31247,1008.71
Jamui,18990,429.95,263,90.38,15,4.46,16,1.67,19284,526.46
Jehanabad,17736,359.65,295,49.11,48,12.64,1,0,18080,421.4
Kaimur (Bhabua),13724,417.81,335,95.74,20,17.14,11,0.47,14090,531.17
Katihar,33938,926.95,701,307.39,53,53.77,17,1.99,34709,1290.1
Khagaria,18284,409.99,282,113.52,9,8.38,5,0.32,18580,532.21
Kishanganj,22651,430.07,245,104.42,17,42.04,10,0.31,22923,576.84
Lakhisarai,11525,288.34,207,27.08,3,0.15,2,0.04,11737,315.61
Madhepura,26425,470.55,271,120.34,32,6.49,8,0.2,26736,597.57
Madhubani,48875,1031.08,658,198.11,36,14.59,40,0.7,49609,1244.47
Munger,19992,542.75,479,58.66,39,4.81,16,0.17,20526,606.38
Muzaffarpur,98938,2997.31,2133,1193.55,163,147.96,62,5.63,101296,4344.44
Nalanda,41702,1066.8,1109,290.51,69,23.1,28,0.91,42908,1381.33
Nawada,23422,614.94,883,119.46,74,50.55,12,1.13,24391,786.08
Pashchim Champaran,68323,1089.13,777,347.65,35,20.93,14,0.75,69149,1458.46
Patna,143132,8893.88,7566,5091.69,1749,3083.3,173,47.25,152620,17116.12
Purbi Champaran,56955,1621.62,911,459.49,112,105.19,36,4.07,58014,2190.35
Purnia,65749,1709.39,1063,665.63,94,227.03,37,1.39,66943,2603.44
Rohtas,33957,1267.81,845,319.79,74,70.02,24,5.05,34900,1662.67
Saharsa,32442,573.16,380,259.78,24,9.48,12,3.07,32858,845.49
Samastipur,52147,1519.18,1088,404.61,57,41.55,52,1.26,53344,1966.6
Saran,58351,1209.34,618,220.56,39,36.16,48,2.35,59056,1468.4
Sheikhpura,7062,245.52,185,46.75,6,1.79,21,0.57,7274,294.64
Sheohar,7711,155.54,48,10.75,6,2.1,1,0,7766,168.4
Sitamarhi,34913,917.53,454,182.53,40,32.64,23,0.87,35430,1133.57
Siwan,65049,1183.38,620,244.46,59,15.15,46,6.65,65774,1449.64
Supaul,28610,528.52,384,108.98,28,4.01,4,0.18,29026,641.68
Vaishali,55410,1315.58,694,291.66,52,55.1,49,2.36,56205,1664.69
