District,"No of cases pending
30.09.2024 No.",Amt.,"No. of cases filed during
the quarter 31.12.2024 No.",Amt.,"No. of cases disposed
during the quarter
31.12.2024 No.",Amt.,"No. of cases pending as at
the end of the quarter
31.12.2024 No.",Amt.
Araria,6745,57,241,3,205,2,6781,58.07
Arwal,2786,44,417,13,140,3,3063,54.48
Aurangabad,7517,104,981,29,262,4,8236,129.01
Banka,28121,331,559,6,467,4,28213,332.92
Begusarai,12731,165,452,8,158,2,13025,170.69
Bhagalpur,30395,377,793,8,721,7,30467,378.15
Bhojpur,9825,151,1417,17,378,3,10864,164.03
Buxar,6360,117,2283,16,271,3,8372,130.44
Darbhanga,2748,31,245,4,510,3,2483,31.94
Gaya,5657,59,119,7,91,1,5685,64.59
Gopalganj,7350,82,1199,11,219,1,8330,91.74
Jamui,5568,75,2459,25,108,1,7919,99.59
Jehanabad,3611,52,89,2,35,1,3665,52.96
Kaimur (Bhabua),14831,172,249,8,196,3,14884,177.41
Katihar,11216,117,800,20,123,2,11893,135.45
Khagaria,7142,97,4596,36,458,5,11280,128.07
Kishanganj,8993,84,531,6,79,1,9445,88.15
Lakhisarai,5650,82,217,4,51,1,5816,85.55
Madhepura,7316,74,71,4,284,3,7103,74.68
Madhubani,4389,50,861,21,83,2,5167,69.28
Munger,9448,102,3244,31,183,3,12509,129.13
Muzaffarpur,18901,174,1238,24,263,3,19876,195.1
Nalanda,11184,130,399,13,1941,22,9642,120.78
Nawada,6206,96,268,6,274,6,6200,96.03
Pashchim Champaran,16745,119,198,2,344,2,16599,119.28
Patna,7018,149,5168,42,273,6,11913,185.35
Purbi Champaran,18582,187,3512,42,213,4,21881,225.16
Purnia,12294,114,1111,17,291,4,13114,126.96
Rohtas,13767,251,809,37,230,7,14346,280.9
Saharsa,5703,62,338,4,583,5,5458,62.27
Samastipur,13184,133,171,6,689,9,12666,130.5
Saran,9115,112,839,13,285,4,9669,120.73
Sheikhpura,4388,45,166,4,124,2,4430,47.47
Sheohar,7358,43,106,1,27,0,7437,44.1
Sitamarhi,7035,49,243,4,43,1,7235,52.65
Siwan,6103,67,659,6,180,1,6582,71.34
Supaul,5345,59,93,1,379,4,5059,55.61
Vaishali,5263,49,2554,22,184,2,7633,69.39
