District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,1087,31.18,819,5.13,75.34,16.45
Arwal,575,16.45,57,0.34,9.91,2.07
Aurangabad,1881,54.21,152,1.00,8.08,1.84
Banka,543,15.37,85,1.21,15.65,7.87
Begusarai,2824,81.45,194,1.39,6.87,1.71
Bhagalpur,824,23.60,517,3.57,62.74,15.13
Bhojpur,1499,43.07,174,1.10,11.61,2.55
Buxar,825,23.58,19,0.23,2.30,0.98
Darbhanga,1358,38.86,246,2.07,18.11,5.33
Gaya,2047,58.99,413,3.19,20.18,5.41
Gopalganj,1468,42.29,215,1.94,14.65,4.59
Jamui,446,12.67,85,0.61,19.06,4.81
Jehanabad,449,12.72,24,0.25,5.35,1.97
Kaimur (Bhabua),1398,40.18,37,0.24,2.65,0.60
Katihar,2931,84.65,1864,11.75,63.60,13.88
Khagaria,1096,31.42,181,1.36,16.51,4.33
Kishanganj,471,13.34,425,2.44,90.23,18.29
Lakhisarai,509,14.58,67,0.49,13.16,3.36
Madhepura,677,19.31,101,0.96,14.92,4.97
Madhubani,2432,70.19,682,8.80,28.04,12.54
Munger,922,26.45,151,0.76,16.38,2.87
Muzaffarpur,2455,70.76,504,3.92,20.53,5.54
Nalanda,1585,45.59,337,2.44,21.26,5.35
Nawada,418,11.86,122,1.12,29.19,9.44
Pashchim Champaran,2047,59.06,221,1.38,10.80,2.34
Patna,1163,33.16,468,4.38,40.24,13.21
Purbi Champaran,1896,54.66,393,2.15,20.73,3.93
Purnia,1862,53.59,1073,8.43,57.63,15.73
Rohtas,1508,43.48,309,1.70,20.49,3.91
Saharsa,349,9.73,409,2.30,117.19,23.64
Samastipur,3355,96.86,288,1.83,8.58,1.89
Saran,3771,109.09,473,3.08,12.54,2.82
Sheikhpura,566,16.13,14,0.33,2.47,2.05
Sheohar,546,15.53,143,0.69,26.19,4.44
Sitamarhi,1560,44.93,143,0.94,9.17,2.09
Siwan,4344,125.53,294,2.64,6.77,2.10
Supaul,475,13.57,223,1.65,46.95,12.16
Vaishali,4359,126.15,193,2.49,4.43,1.97
