district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,40672,553.83,47561,475.04,23224,177.76,18,7.64,771,98.29,89022,1134.80
Arwal,6317,73.62,7144,80.06,2790,24.61,6,10.67,158,9.59,13625,173.94
Aurangabad,21603,290.21,43106,464.50,15484,125.99,40,4.74,708,162.47,65457,921.92
Banka,15765,232.84,40431,374.18,20358,143.19,5,0.41,870,34.74,57071,642.17
Begusarai,45335,441.92,82286,773.30,38044,307.95,52,19.54,1166,221.06,128839,1455.82
Bhagalpur,24753,330.62,63987,636.72,27563,224.00,36,10.12,1734,79.75,90510,1057.21
Bhojpur,21466,127.23,99012,764.81,26989,190.34,37,6.48,634,97.23,121149,995.75
Buxar,14421,87.77,33327,348.60,12338,99.46,39,6.38,659,90.52,48446,533.27
Darbhanga,52075,576.17,81949,601.49,58114,378.59,103,2.34,2162,109.14,136289,1289.14
Gaya,32551,415.36,223383,1464.56,38274,294.67,18,8.20,4045,282.25,259997,2170.37
Gopalganj,52548,637.13,45061,383.44,30508,202.67,17,0.39,647,27.20,98273,1048.16
Jamui,15307,75.34,27189,263.84,12429,93.69,19,1.57,499,40.99,43014,381.74
Jehanabad,10036,142.88,16068,182.70,4211,41.45,4,0.43,429,36.84,26537,362.85
Kaimur (Bhabua),16600,334.42,32238,327.80,11628,84.98,19,7.91,755,138.36,49612,808.49
Katihar,47957,446.62,79414,726.70,52458,356.61,35,13.31,1377,84.18,128783,1270.81
Khagaria,22698,141.16,31800,338.35,16832,142.36,18,7.68,671,32.03,55187,519.22
Kishanganj,29534,409.36,36374,402.79,19306,162.19,10,18.44,1208,31.30,67126,861.89
Lakhisarai,9079,75.28,18033,197.33,7904,64.70,29,0.94,412,22.82,27553,296.37
Madhepura,24568,293.22,47580,320.07,25977,149.15,18,3.95,1055,26.69,73221,643.93
Madhubani,68166,786.27,49286,405.69,23428,159.60,38,3.47,1425,51.95,118915,1247.38
Munger,9197,56.75,19701,228.39,10820,94.73,7,4.52,388,28.70,29293,318.36
Muzaffarpur,81259,969.55,111496,962.78,57103,393.93,194,15.83,5594,517.88,198543,2466.04
Nalanda,26504,148.95,44391,521.64,17259,152.31,18,10.47,1018,104.94,71931,786.00
Nawada,36532,200.11,29665,377.56,11756,102.37,10,0.25,697,31.19,66904,609.11
Pashchim Champaran,74320,732.98,60936,508.32,29515,200.03,55,4.70,1184,104.62,136495,1350.62
Patna,24991,1488.91,541251,3286.73,215757,1277.89,390,84.17,6193,1037.22,572825,5897.03
Purbi Champaran,101357,1160.96,124635,928.24,65408,385.79,37,2.93,3884,214.14,229913,2306.27
Purnia,57143,647.96,58119,570.36,29320,206.45,95,32.78,1166,218.75,116523,1469.85
Rohtas,26479,509.12,44271,512.35,16899,139.13,31,7.01,1306,147.48,72087,1175.96
Saharsa,28357,347.54,25098,215.62,10300,67.15,4,0.80,2426,69.01,55885,632.97
Samastipur,49409,379.45,79243,844.06,31876,290.79,41,35.01,1931,199.94,130624,1458.46
Saran,51060,652.19,84243,643.86,58811,350.96,9,1.78,2817,71.85,138129,1369.68
Sheikhpura,7188,67.95,9604,87.19,4879,43.81,10,0.52,162,9.51,16964,165.17
Sheohar,11717,117.18,9315,90.70,4394,41.54,4,0.05,498,13.16,21534,221.09
Sitamarhi,45375,450.63,36410,343.66,12889,117.33,49,5.40,2808,67.44,84642,867.13
Siwan,45477,481.90,233105,1355.16,54284,341.30,38,1.18,1648,77.78,280268,1916.02
Supaul,31521,348.09,27992,246.16,10059,78.80,10,1.60,1555,43.37,61078,639.22
Vaishali,65300,942.18,497732,2447.29,47252,329.37,37,3.01,4589,192.03,567658,3584.51
