District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,2387,102.11,342,3.00,14.33,2.94
Arwal,745,31.47,109,1.40,14.63,4.45
Aurangabad,3635,155.92,727,6.36,20.00,4.08
Banka,1281,54.69,186,1.32,14.52,2.41
Begusarai,2318,99.22,148,5.14,6.38,5.18
Bhagalpur,2034,86.94,475,5.21,23.35,5.99
Bhojpur,1987,84.88,106,1.32,5.33,1.56
Buxar,1182,50.48,20,0.25,1.69,0.50
Darbhanga,2635,112.59,224,3.06,8.50,2.72
Gaya,4032,172.93,540,4.54,13.39,2.63
Gopalganj,1478,63.16,314,6.05,21.24,9.58
Jamui,837,35.57,157,1.67,18.76,4.69
Jehanabad,946,40.37,87,0.94,9.20,2.33
Kaimur (Bhabua),1994,85.49,50,0.59,2.51,0.69
Katihar,1818,77.73,683,5.77,37.57,7.42
Khagaria,363,15.10,69,1.17,19.01,7.75
Kishanganj,1756,75.28,446,3.24,25.40,4.30
Lakhisarai,1836,78.42,31,0.33,1.69,0.42
Madhepura,1178,50.14,108,1.57,9.17,3.13
Madhubani,3198,136.96,544,8.22,17.01,6.00
Munger,2100,90.14,157,1.22,7.48,1.35
Muzaffarpur,4326,185.39,475,19.02,10.98,10.26
Nalanda,2890,123.66,169,3.73,5.85,3.02
Nawada,734,31.26,90,2.21,12.26,7.07
Pashchim Champaran,3135,134.58,162,4.06,5.17,3.02
Patna,7808,335.18,423,9.82,5.42,2.93
Purbi Champaran,1681,71.93,384,4.91,22.84,6.83
Purnia,2566,109.83,634,8.04,24.71,7.32
Rohtas,2002,85.70,157,2.49,7.84,2.91
Saharsa,666,28.12,106,0.78,15.92,2.77
Samastipur,3742,160.46,172,5.86,4.60,3.65
Saran,2836,121.44,448,3.26,15.80,2.68
Sheikhpura,734,31.03,38,0.59,5.18,1.90
Sheohar,583,24.48,15,0.27,2.57,1.10
Sitamarhi,2303,98.66,212,2.47,9.21,2.50
Siwan,3448,147.72,397,5.87,11.51,3.97
Supaul,946,40.32,57,1.30,6.03,3.22
Vaishali,2840,121.79,403,8.29,14.19,6.81
