district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,42357,76.32,47561,76.32,112.29,76.32
Arwal,19829,28.68,7144,28.68,36.03,28.68
Aurangabad,34715,84.39,43106,84.39,124.17,84.39
Banka,40286,71.56,40431,71.56,100.36,71.56
Begusarai,57329,88.07,82286,88.07,143.53,88.07
Bhagalpur,69518,70.20,63987,70.20,92.04,70.20
Bhojpur,68582,84.14,99012,84.14,144.37,84.14
Buxar,69340,43.00,33327,43.00,48.06,43.00
Darbhanga,63491,73.57,81949,73.57,129.07,73.57
Gaya,110381,96.64,223383,96.64,202.37,96.64
Gopalganj,49779,60.05,45061,60.05,90.52,60.05
Jamui,33873,61.15,27189,61.15,80.27,61.15
Jehanabad,27000,49.78,16068,49.78,59.51,49.78
Kaimur (Bhabua),40120,57.04,32238,57.04,80.35,57.04
Katihar,61253,91.46,79414,91.46,129.65,91.46
Khagaria,31349,73.48,31800,73.48,101.44,73.48
Kishanganj,35424,86.54,36374,86.54,102.68,86.54
Lakhisarai,23845,51.68,18033,51.68,75.63,51.68
Madhepura,33498,72.86,47580,72.86,142.04,72.86
Madhubani,91337,36.40,49286,36.40,53.96,36.40
Munger,44118,37.36,19701,37.36,44.66,37.36
Muzaffarpur,163371,51.65,111496,51.65,68.25,51.65
Nalanda,68527,55.46,44391,55.46,64.78,55.46
Nawada,35237,86.58,29665,86.58,84.19,86.58
Pashchim Champaran,74445,44.98,60936,44.98,81.85,44.98
Patna,115639,174.23,541251,174.23,468.05,174.23
Purbi Champaran,109129,73.57,124635,73.57,114.21,73.57
Purnia,70523,60.46,58119,60.46,82.41,60.46
Rohtas,55558,72.37,44271,72.37,79.68,72.37
Saharsa,18084,88.48,25098,88.48,138.79,88.48
Samastipur,102608,57.11,79243,57.11,77.23,57.11
Saran,83019,56.06,84243,56.06,101.47,56.06
Sheikhpura,13843,43.54,9604,43.54,69.38,43.54
Sheohar,13656,47.46,9315,47.46,68.21,47.46
Sitamarhi,42813,55.55,36410,55.55,85.04,55.55
Siwan,78695,128.51,233105,128.51,296.21,128.51
Supaul,23389,74.77,27992,74.77,119.68,74.77
Vaishali,107065,184.73,497732,184.73,464.89,184.73
