District,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,Total Priority Sector A/c,Amt
Araria,116,1.86,254,9.46,7,0.52,3,0.04,21577,136.55,122352,2378.22
Arwal,46,0.50,64,4.41,0,0.00,4,0.05,2735,13.52,20455,390.70
Aurangabad,270,3.89,328,34.32,1,0.01,2,0.04,9261,52.57,87982,2043.01
Banka,116,2.11,142,10.96,0,0.00,2,0.03,9502,112.43,74550,1122.49
Begusarai,340,5.88,471,36.88,1,0.03,6,0.11,13910,122.96,169015,3917.97
Bhagalpur,648,12.84,718,45.67,1,0.05,20,0.33,22757,202.86,145298,3406.96
Bhojpur,300,4.81,582,41.31,1,0.01,7,0.13,8664,49.67,144532,2143.79
Buxar,170,2.70,321,17.34,0,0.00,3,0.05,6388,37.29,64754,1170.30
Darbhanga,492,8.67,451,20.88,22,0.61,10,0.17,11234,69.77,173448,2975.16
Gaya,1063,25.58,930,47.55,39,0.18,28,0.54,15831,98.70,306638,4576.02
Gopalganj,161,2.80,305,11.11,0,0.00,1,0.02,10416,62.05,117437,1891.66
Jamui,79,1.03,138,10.50,1,0.02,0,0.00,10563,71.00,61354,876.72
Jehanabad,159,2.31,276,22.76,0,0.00,3,0.04,1804,10.95,38578,746.00
Kaimur (Bhabua),82,1.31,225,14.48,2,0.20,5,0.09,7699,41.68,68200,1293.60
Katihar,170,3.45,372,21.08,0,0.00,1,0.01,14558,86.65,156814,2534.85
Khagaria,74,1.23,86,7.83,4,0.30,1,0.01,5723,34.60,69004,1056.59
Kishanganj,100,1.60,199,7.43,1,0.12,0,0.00,18646,119.09,93603,1479.87
Lakhisarai,87,1.32,112,7.22,0,0.00,1,0.02,5219,30.89,37998,636.15
Madhepura,77,1.66,75,4.22,0,0.00,1,0.01,6275,37.83,86486,1170.08
Madhubani,326,5.30,389,18.31,1,0.01,3,0.06,9482,54.04,144128,2344.53
Munger,156,2.23,269,16.18,0,0.00,1,0.01,10275,74.20,47270,817.37
Muzaffarpur,809,15.15,1000,57.08,2,0.02,15,0.26,25468,173.83,259899,6343.14
Nalanda,288,4.12,377,29.15,5,0.25,36,0.71,13810,157.94,118480,2207.72
Nawada,132,2.23,354,22.98,1,0.01,2,0.03,12376,71.27,89974,1354.94
Pashchim Champaran,250,4.31,262,12.43,2,0.09,3,0.03,12988,89.47,162546,2627.75
Patna,3892,83.37,5661,357.77,89,11.66,83,1.47,45908,378.59,694652,21232.93
Purbi Champaran,417,6.73,540,16.32,1,0.03,6,0.10,27893,145.32,276454,4213.60
Purnia,309,5.40,763,41.70,4,0.21,2,0.07,16952,102.26,163881,4026.71
Rohtas,287,4.33,500,35.41,1,0.07,12,4.05,12418,71.32,107508,2585.28
Saharsa,125,1.99,147,6.11,2,0.12,0,0.00,8626,48.09,73806,1396.97
Samastipur,416,6.85,522,40.54,2,0.10,6,0.11,16738,99.96,174786,3572.61
Saran,295,5.21,389,18.63,6,0.03,1,0.02,25203,151.72,181416,2647.05
Sheikhpura,59,0.87,78,5.55,0,0.00,4,0.07,3463,20.70,24370,424.53
Sheohar,37,0.61,53,1.40,0,0.00,0,0.00,524,3.45,24203,334.29
Sitamarhi,222,4.13,344,14.86,2,0.01,4,0.06,6535,48.01,103589,1831.39
Siwan,210,3.77,384,18.78,54,0.08,3,0.05,20495,125.17,327018,3210.41
Supaul,85,1.60,123,5.76,0,0.00,6,0.11,4820,27.55,74200,1215.38
Vaishali,370,6.39,662,29.48,3,0.28,4,0.08,20674,138.22,607412,5100.50
