District,Shishu Account,Amount,Kishor Account,Amount,Tarun Account,Amount,Total Account,Amount
Araria,50101,183.88,49495,465.04,1307,86.29,100903,454.05
Arwal,6182,24.17,3605,39.99,275,19.59,10062,67.93
Aurangabad,20238,81.43,14942,152.14,945,62.90,36125,225.76
Banka,26356,97.49,18028,189.36,562,35.00,44946,229.98
Begusarai,63824,239.26,61020,551.79,1625,105.72,126469,584.24
Bhagalpur,52054,193.87,51706,536.57,1802,120.93,105562,508.67
Bhojpur,20186,80.03,17036,168.04,1218,79.93,38440,239.99
Buxar,15183,60.45,13152,133.54,798,52.89,29133,173.79
Darbhanga,46703,177.68,58996,511.27,1784,101.61,107483,456.97
Gaya,70742,260.31,53369,416.28,2029,126.71,126140,647.33
Gopalganj,26078,102.41,33941,313.57,1466,83.29,61485,288.11
Jamui,25043,89.27,23491,227.04,529,35.82,49063,214.36
Jehanabad,8167,31.76,10305,116.29,457,29.38,18929,92.90
Kaimur (Bhabua),13787,53.40,11733,115.92,688,40.35,26208,147.15
Katihar,49446,180.87,58598,501.59,1594,99.97,109638,461.71
Khagaria,26561,101.55,20342,217.09,796,53.42,47699,256.52
Kishanganj,35814,125.95,44659,432.74,730,40.87,81203,292.77
Lakhisarai,9223,35.99,10316,113.93,374,25.00,19913,96.98
Madhepura,23784,86.24,25021,234.23,906,54.71,49711,227.19
Madhubani,55043,203.17,44471,393.92,2288,123.00,101802,529.34
Munger,20576,75.76,16220,158.02,695,49.08,37491,200.60
Muzaffarpur,91976,371.11,70673,676.09,3219,199.90,165868,942.12
Nalanda,24715,96.76,23777,258.27,1404,90.39,49896,283.91
Nawada,26135,103.63,23721,224.58,870,50.07,50726,257.33
Pashchim Champaran,50106,198.21,46848,434.12,1837,111.57,98791,507.99
Patna,203694,836.38,103015,1050.42,6264,439.34,312973,2112.10
Purbi Champaran,43822,184.29,47035,452.09,2861,165.76,93718,534.34
Purnia,39939,157.39,51321,488.07,2212,139.47,93472,454.25
Rohtas,37089,140.46,22961,222.52,1432,94.39,61482,375.31
Saharsa,22667,83.00,21735,216.57,881,50.18,45283,216.18
Samastipur,66488,250.22,60318,595.90,2272,150.48,129078,650.92
Saran,55517,224.63,58533,543.05,2577,140.36,116627,589.62
Sheikhpura,6230,24.58,4540,53.32,383,27.17,11153,76.33
Sheohar,4780,16.74,4109,48.64,336,16.64,9225,50.12
Sitamarhi,34449,128.70,30399,294.68,1458,84.45,66306,341.85
Siwan,42188,172.02,46363,441.29,1843,108.80,90394,452.84
Supaul,14128,53.54,17203,175.09,1077,65.89,32408,172.97
Vaishali,62373,240.01,58483,570.18,2054,121.81,122910,601.83
