District,TARGET NO.,AMT,Disbursed No.,% Achievement No.
Araria,42357,622.40,47561,112.29
Arwal,19829,279.13,7144,36.03
Aurangabad,34715,550.45,43106,124.17
Banka,40286,522.92,40431,100.36
Begusarai,57329,878.10,82286,143.53
Bhagalpur,69518,907.00,63987,92.04
Bhojpur,68582,908.99,99012,144.37
Buxar,69340,810.63,33327,48.06
Darbhanga,63491,817.57,81949,129.07
Gaya,110381,1515.54,223383,202.37
Gopalganj,49779,638.54,45061,90.52
Jamui,33873,431.47,27189,80.27
Jehanabad,27000,367.02,16068,59.51
Kaimur (Bhabua),40120,574.71,32238,80.35
Katihar,61253,794.58,79414,129.65
Khagaria,31349,460.48,31800,101.44
Kishanganj,35424,465.42,36374,102.68
Lakhisarai,23845,381.83,18033,75.63
Madhepura,33498,439.29,47580,142.04
Madhubani,91337,1114.62,49286,53.96
Munger,44118,611.30,19701,44.66
Muzaffarpur,163371,1863.90,111496,68.25
Nalanda,68527,940.50,44391,64.78
Nawada,35237,436.07,29665,84.19
Pashchim Champaran,74445,1130.21,60936,81.85
Patna,115639,1886.41,541251,468.05
Purbi Champaran,109129,1261.64,124635,114.21
Purnia,70523,943.29,58119,82.41
Rohtas,55558,707.95,44271,79.68
Saharsa,18084,243.70,25098,138.79
Samastipur,102608,1477.89,79243,77.23
Saran,83019,1148.57,84243,101.47
Sheikhpura,13843,200.27,9604,69.38
Sheohar,13656,191.11,9315,68.21
Sitamarhi,42813,618.66,36410,85.04
Siwan,78695,1054.51,233105,296.21
Supaul,23389,329.23,27992,119.68
Vaishali,107065,1324.82,497732,464.89
