district,loans_to_weaker_sections_under_priority_sector_a_c,amt,out_of_loans_to_weaker_sections_in_psl_loans_to_individual_w,amt,out_of_agriculture_loans_to_small_marginal_farmers_no,amt
Araria,102192,581.30,47162,581.30,52226,581.30
Arwal,16100,81.75,6554,81.75,12235,81.75
Aurangabad,76751,351.33,27927,351.33,50169,351.33
Banka,69002,176.27,24559,176.27,27411,176.27
Begusarai,133596,575.20,42609,575.20,65385,575.20
Bhagalpur,116478,458.15,51260,458.15,57129,458.15
Bhojpur,131734,340.57,33249,340.57,50947,340.57
Buxar,56031,208.73,21416,208.73,35252,208.73
Darbhanga,145712,618.09,41720,618.09,62928,618.09
Gaya,269940,430.18,88465,430.18,66276,430.18
Gopalganj,98835,631.70,30695,631.70,57989,631.70
Jamui,55566,198.11,22347,198.11,33577,198.11
Jehanabad,29386,136.44,6719,136.44,17744,136.44
Kaimur (Bhabua),58613,314.09,19855,314.09,33853,314.09
Katihar,132980,522.12,39162,522.12,61000,522.12
Khagaria,60977,302.38,22685,302.38,44060,302.38
Kishanganj,82174,465.11,39388,465.11,41181,465.11
Lakhisarai,33304,138.45,9871,138.45,17327,138.45
Madhepura,74260,324.79,25820,324.79,43315,324.79
Madhubani,120257,771.82,36964,771.82,75944,771.82
Munger,40572,135.59,18598,135.59,20810,135.59
Muzaffarpur,216946,1226.10,105307,1226.10,139437,1226.10
Nalanda,88100,324.60,32991,324.60,54845,324.60
Nawada,65292,277.39,28977,277.39,42637,277.39
Pashchim Champaran,135863,811.54,54344,811.54,88509,811.54
Patna,615959,1691.37,276190,1691.37,256793,1691.37
Purbi Champaran,233381,1195.45,61024,1195.45,120193,1195.45
Purnia,129275,749.05,54836,749.05,78701,749.05
Rohtas,85785,389.66,32353,389.66,54917,389.66
Saharsa,60890,361.15,23567,361.15,34328,361.15
Samastipur,140796,661.82,55130,661.82,91352,661.82
Saran,155755,784.62,67666,784.62,85572,784.62
Sheikhpura,21274,112.63,8034,112.63,13216,112.63
Sheohar,20923,119.81,3727,119.81,12162,119.81
Sitamarhi,86153,486.75,26645,486.75,50671,486.75
Siwan,294890,719.18,65887,719.18,83669,719.18
Supaul,59499,366.19,14431,366.19,36335,366.19
Vaishali,575336,941.52,47950,941.52,72954,941.52
