district,kcc_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,22033,37.91,31255,37.91,50.09,37.91,40370,37.91,31255,37.91,50.09,37.91,62403,37.91,31255,37.91,50.09,37.91
Arwal,11941,2.73,1149,2.73,4.39,2.73,14248,2.73,1149,2.73,4.39,2.73,26189,2.73,1149,2.73,4.39,2.73
Aurangabad,83834,3.43,9071,3.43,4.68,3.43,109887,3.43,9071,3.43,4.68,3.43,193721,3.43,9071,3.43,4.68,3.43
Banka,16274,7.50,7470,7.50,13.51,7.50,39034,7.50,7470,7.50,13.51,7.50,55308,7.50,7470,7.50,13.51,7.50
Begusarai,43112,14.44,31854,14.44,25.54,14.44,81591,14.44,31854,14.44,25.54,14.44,124703,14.44,31854,14.44,25.54,14.44
Bhagalpur,46438,8.94,17731,8.94,11.39,8.94,109299,8.94,17731,8.94,11.39,8.94,155737,8.94,17731,8.94,11.39,8.94
Bhojpur,60091,3.38,7280,3.38,5.23,3.38,79048,3.38,7280,3.38,5.23,3.38,139139,3.38,7280,3.38,5.23,3.38
Buxar,54735,3.85,6431,3.85,4.50,3.85,88249,3.85,6431,3.85,4.50,3.85,142984,3.85,6431,3.85,4.50,3.85
Darbhanga,40406,16.72,41276,16.72,40.75,16.72,60881,16.72,41276,16.72,40.75,16.72,101287,16.72,41276,16.72,40.75,16.72
Gaya,57525,8.26,13836,8.26,11.32,8.26,64742,8.26,13836,8.26,11.32,8.26,122267,8.26,13836,8.26,11.32,8.26
Gopalganj,56179,10.08,34855,10.08,18.93,10.08,127979,10.08,34855,10.08,18.93,10.08,184158,10.08,34855,10.08,18.93,10.08
Jamui,26509,10.92,10416,10.92,16.42,10.92,36941,10.92,10416,10.92,16.42,10.92,63450,10.92,10416,10.92,16.42,10.92
Jehanabad,23108,6.01,2364,6.01,4.88,6.01,25322,6.01,2364,6.01,4.88,6.01,48430,6.01,2364,6.01,4.88,6.01
Kaimur (Bhabua),51077,9.29,8625,9.29,7.20,9.29,68784,9.29,8625,9.29,7.20,9.29,119861,9.29,8625,9.29,7.20,9.29
Katihar,30124,22.47,27186,22.47,34.01,22.47,49818,22.47,27186,22.47,34.01,22.47,79942,22.47,27186,22.47,34.01,22.47
Khagaria,33472,10.07,18812,10.07,20.68,10.07,57485,10.07,18812,10.07,20.68,10.07,90957,10.07,18812,10.07,20.68,10.07
Kishanganj,13826,38.74,25000,38.74,67.81,38.74,23044,38.74,25000,38.74,67.81,38.74,36870,38.74,25000,38.74,67.81,38.74
Lakhisarai,23772,6.19,4604,6.19,8.61,6.19,29695,6.19,4604,6.19,8.61,6.19,53467,6.19,4604,6.19,8.61,6.19
Madhepura,33982,13.29,17446,13.29,23.18,13.29,41280,13.29,17446,13.29,23.18,13.29,75262,13.29,17446,13.29,23.18,13.29
Madhubani,47559,15.08,45635,15.08,32.52,15.08,92784,15.08,45635,15.08,32.52,15.08,140343,15.08,45635,15.08,32.52,15.08
Munger,13724,11.30,5773,11.30,15.76,11.30,22904,11.30,5773,11.30,15.76,11.30,36628,11.30,5773,11.30,15.76,11.30
Muzaffarpur,59487,20.00,68258,20.00,38.95,20.00,115770,20.00,68258,20.00,38.95,20.00,175257,20.00,68258,20.00,38.95,20.00
Nalanda,47303,5.46,7863,5.46,7.27,5.46,60810,5.46,7863,5.46,7.27,5.46,108113,5.46,7863,5.46,7.27,5.46
Nawada,34329,9.52,9753,9.52,11.63,9.52,49507,9.52,9753,9.52,11.63,9.52,83836,9.52,9753,9.52,11.63,9.52
Pashchim Champaran,36632,36.36,60010,36.36,64.52,36.36,56380,36.36,60010,36.36,64.52,36.36,93012,36.36,60010,36.36,64.52,36.36
Patna,86569,4.87,9291,4.87,3.72,4.87,163105,4.87,9291,4.87,3.72,4.87,249674,4.87,9291,4.87,3.72,4.87
Purbi Champaran,77433,22.27,74163,22.27,39.02,22.27,112645,22.27,74163,22.27,39.02,22.27,190078,22.27,74163,22.27,39.02,22.27
Purnia,39829,32.00,40788,32.00,38.62,32.00,65776,32.00,40788,32.00,38.62,32.00,105605,32.00,40788,32.00,38.62,32.00
Rohtas,61787,8.71,10947,8.71,8.05,8.71,74148,8.71,10947,8.71,8.05,8.71,135935,8.71,10947,8.71,8.05,8.71
Saharsa,38197,15.29,19215,15.29,22.70,15.29,46449,15.29,19215,15.29,22.70,15.29,84646,15.29,19215,15.29,22.70,15.29
Samastipur,62798,19.76,46657,19.76,33.30,19.76,77310,19.76,46657,19.76,33.30,19.76,140108,19.76,46657,19.76,33.30,19.76
Saran,57276,12.74,29430,12.74,22.15,12.74,75610,12.74,29430,12.74,22.15,12.74,132886,12.74,29430,12.74,22.15,12.74
Sheikhpura,10958,14.51,3910,14.51,15.58,14.51,14134,14.51,3910,14.51,15.58,14.51,25092,14.51,3910,14.51,15.58,14.51
Sheohar,6384,25.26,9209,25.26,37.68,25.26,18057,25.26,9209,25.26,37.68,25.26,24441,25.26,9209,25.26,37.68,25.26
Sitamarhi,25470,18.84,33118,18.84,35.86,18.84,66890,18.84,33118,18.84,35.86,18.84,92360,18.84,33118,18.84,35.86,18.84
Siwan,49951,11.59,29560,11.59,21.77,11.59,85840,11.59,29560,11.59,21.77,11.59,135791,11.59,29560,11.59,21.77,11.59
Supaul,32338,16.72,20556,16.72,28.36,16.72,40132,16.72,20556,16.72,28.36,16.72,72470,16.72,20556,16.72,28.36,16.72
Vaishali,38418,34.73,49488,34.73,49.46,34.73,61640,34.73,49488,34.73,49.46,34.73,100058,34.73,49488,34.73,49.46,34.73
