District,KCC - AH NEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,KCC - AH RENEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,TOTAL KCC - AH (NEW+RENEW) TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,4346,34.68,703,6.23,16.18,17.96,287,221,977,8.69,340.42,3.93,4633,255.68,1680,14.92,36.26,5.84
Arwal,1889,15.08,50,0.41,2.65,2.72,128,96,62,0.54,48.44,0.56,2017,111.08,112,0.95,5.55,0.86
Aurangabad,1574,12.54,77,0.73,4.89,5.82,107,80,122,1.96,114.02,2.45,1681,92.54,199,2.69,11.84,2.91
Banka,2432,19.4,117,2.13,4.81,10.98,165,124,1116,5.18,676.36,4.18,2597,143.4,1233,7.34,47.48,5.12
Begusarai,8362,66.85,322,4.81,3.85,7.20,542,427,950,13.34,175.28,3.12,8904,493.85,1272,18.20,14.29,3.69
Bhagalpur,6290,50.26,299,6.27,4.75,12.48,407,321,2416,17.52,593.61,5.46,6697,371.26,2715,23.80,40.54,6.41
Bhojpur,5472,43.71,226,2.62,4.13,5.99,356,279,323,1.50,90.73,0.54,5828,322.71,549,4.06,9.42,1.26
Buxar,4251,33.96,199,1.41,4.68,4.15,280,217,187,0.63,66.79,0.29,4531,250.96,386,1.99,8.52,0.79
Darbhanga,4678,37.36,203,2.25,4.34,6.02,306,238,2901,26.62,948.04,11.18,4984,275.36,3104,28.83,62.28,10.47
Gaya,8500,67.94,94,1.09,1.11,1.60,550,434,642,3.97,116.73,0.91,9050,501.94,736,5.09,8.13,1.01
Gopalganj,3510,28.02,474,5.25,13.50,18.74,233,179,325,3.73,139.48,2.08,3743,207.02,799,8.97,21.35,4.33
Jamui,2819,22.51,166,2.24,5.89,9.95,189,144,1339,2.37,708.47,1.65,3008,166.51,1505,4.59,50.03,2.76
Jehanabad,2506,20.02,58,0.87,2.31,4.35,163,128,394,1.28,241.72,1.00,2669,148.02,452,2.13,16.94,1.44
Kaimur (Bhabua),3096,24.76,190,2.08,6.14,8.40,203,158,121,0.92,59.61,0.58,3299,182.76,311,2.98,9.43,1.63
Katihar,5908,47.24,187,1.96,3.17,4.15,384,302,453,2.77,117.97,0.92,6292,349.24,640,4.75,10.17,1.36
Khagaria,3418,27.3,914,12.73,26.74,46.63,228,174,1899,9.96,832.89,5.72,3646,201.3,2813,22.72,77.15,11.29
Kishanganj,3555,28.39,112,1.43,3.15,5.04,232,181,684,2.79,294.83,1.54,3787,209.39,796,4.23,21.02,2.02
Lakhisarai,3374,26.96,181,6.67,5.36,24.74,221,172,858,2.69,388.24,1.56,3595,198.96,1039,9.35,28.90,4.70
Madhepura,2366,18.86,260,2.09,10.99,11.08,160,120,516,2.65,322.50,2.21,2526,138.86,776,4.76,30.72,3.43
Madhubani,6656,53.16,166,1.70,2.49,3.20,433,339,575,4.94,132.79,1.46,7089,392.16,741,6.62,10.45,1.69
Munger,4571,36.53,200,5.59,4.38,15.30,297,233,737,3.36,248.15,1.44,4868,269.53,937,8.97,19.25,3.33
Muzaffarpur,11993,95.87,889,13.11,7.41,13.67,771,612,2353,31.48,305.19,5.14,12764,707.87,3242,44.57,25.40,6.30
Nalanda,5713,45.65,262,3.34,4.59,7.32,369,291,761,5.68,206.23,1.95,6082,336.65,1023,9.05,16.82,2.69
Nawada,3013,24.04,132,0.91,4.38,3.79,200,153,138,0.63,69.00,0.41,3213,177.04,270,1.49,8.40,0.84
Pashchim Champaran,5865,46.87,685,9.15,11.68,19.52,380,299,2104,17.45,553.68,5.84,6245,345.87,2789,26.55,44.66,7.68
Patna,18523,148.12,425,7.05,2.29,4.76,1192,945,803,8.06,67.37,0.85,19715,1093.12,1228,15.03,6.23,1.37
Purbi Champaran,3941,31.49,1920,27.04,48.72,85.87,259,201,2738,33.11,1057.14,16.47,4200,232.49,4658,60.17,110.90,25.88
Purnia,4470,35.73,105,1.14,2.35,3.19,292,228,584,2.60,200.00,1.14,4762,263.73,689,3.73,14.47,1.41
Rohtas,3748,29.97,41,0.50,1.09,1.67,247,191,196,1.11,79.35,0.58,3995,220.97,237,1.61,5.93,0.73
Saharsa,1469,11.71,216,2.82,14.70,24.08,99,75,645,5.33,651.52,7.11,1568,86.71,861,8.13,54.91,9.38
Samastipur,6698,53.51,1349,20.48,20.14,38.27,439,342,2589,17.37,589.75,5.08,7137,395.51,3938,37.79,55.18,9.55
Saran,8906,71.2,217,2.60,2.44,3.65,572,454,893,5.67,156.12,1.25,9478,525.2,1110,8.27,11.71,1.57
Sheikhpura,1525,12.15,149,1.86,9.77,15.31,108,78,400,2.14,370.37,2.74,1633,90.15,549,3.99,33.62,4.43
Sheohar,1265,10.07,405,4.83,32.02,47.96,91,64,468,9.46,514.29,14.78,1356,74.07,873,14.31,64.38,19.32
Sitamarhi,4006,31.99,301,4.19,7.51,13.10,264,204,1165,8.17,441.29,4.00,4270,235.99,1466,12.40,34.33,5.25
Siwan,5017,40.09,162,1.27,3.23,3.17,330,256,704,7.35,213.33,2.87,5347,296.09,866,8.61,16.20,2.91
Supaul,1998,15.9,75,0.52,3.75,3.27,138,102,129,1.51,93.48,1.48,2136,117.9,204,1.99,9.55,1.69
Vaishali,4918,39.29,166,2.17,3.38,5.52,324,251,1186,15.42,366.05,6.14,5242,290.29,1352,17.66,25.79,6.08
