district,kcc_fisheries_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_fisheries_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_fisheries_ah_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1512,15.92,137,15.92,8.79,15.92,46,15.92,137,15.92,8.79,15.92,1558,15.92,137,15.92,8.79,15.92
Arwal,798,0.49,2,0.49,0.24,0.49,24,0.49,2,0.49,0.24,0.49,822,0.49,2,0.49,0.24,0.49
Aurangabad,2630,0.81,8,0.81,0.29,0.81,82,0.81,8,0.81,0.29,0.81,2712,0.81,8,0.81,0.29,0.81
Banka,746,42.86,55,42.86,7.14,42.86,24,42.86,55,42.86,7.14,42.86,770,42.86,55,42.86,7.14,42.86
Begusarai,3950,12.13,108,12.13,2.65,12.13,122,12.13,108,12.13,2.65,12.13,4072,12.13,108,12.13,2.65,12.13
Bhagalpur,1144,13.56,77,13.56,6.53,13.56,36,13.56,77,13.56,6.53,13.56,1180,13.56,77,13.56,6.53,13.56
Bhojpur,2088,0.46,8,0.46,0.37,0.46,64,0.46,8,0.46,0.37,0.46,2152,0.46,8,0.46,0.37,0.46
Buxar,1144,0.85,22,0.85,1.86,0.85,36,0.85,22,0.85,1.86,0.85,1180,0.85,22,0.85,1.86,0.85
Darbhanga,1884,7.62,52,7.62,2.68,7.62,58,7.62,52,7.62,2.68,7.62,1942,7.62,52,7.62,2.68,7.62
Gaya,2860,2.71,21,2.71,0.71,2.71,88,2.71,21,2.71,0.71,2.71,2948,2.71,21,2.71,0.71,2.71
Gopalganj,2052,6.43,72,6.43,3.40,6.43,64,6.43,72,6.43,3.40,6.43,2116,6.43,72,6.43,3.40,6.43
Jamui,614,1.26,15,1.26,2.37,1.26,20,1.26,15,1.26,2.37,1.26,634,1.26,15,1.26,2.37,1.26
Jehanabad,618,15.36,24,15.36,3.76,15.36,20,15.36,24,15.36,3.76,15.36,638,15.36,24,15.36,3.76,15.36
Kaimur (Bhabua),1948,0.30,4,0.30,0.20,0.30,60,0.30,4,0.30,0.20,0.30,2008,0.30,4,0.30,0.20,0.30
Katihar,4106,8.08,255,8.08,6.03,8.08,126,8.08,255,8.08,6.03,8.08,4232,8.08,255,8.08,6.03,8.08
Khagaria,1524,25.83,142,25.83,9.03,25.83,48,25.83,142,25.83,9.03,25.83,1572,25.83,142,25.83,9.03,25.83
Kishanganj,646,105.71,103,105.71,15.47,105.71,20,105.71,103,105.71,15.47,105.71,666,105.71,103,105.71,15.47,105.71
Lakhisarai,708,3.84,6,3.84,0.82,3.84,22,3.84,6,3.84,0.82,3.84,730,3.84,6,3.84,0.82,3.84
Madhepura,936,6.43,29,6.43,3.01,6.43,28,6.43,29,6.43,3.01,6.43,964,6.43,29,6.43,3.01,6.43
Madhubani,3404,33.85,581,33.85,16.55,33.85,106,33.85,581,33.85,16.55,33.85,3510,33.85,581,33.85,16.55,33.85
Munger,1282,2.42,22,2.42,1.66,2.42,40,2.42,22,2.42,1.66,2.42,1322,2.42,22,2.42,1.66,2.42
Muzaffarpur,3432,12.61,117,12.61,3.31,12.61,106,12.61,117,12.61,3.31,12.61,3538,12.61,117,12.61,3.31,12.61
Nalanda,2212,15.96,128,15.96,5.61,15.96,68,15.96,128,15.96,5.61,15.96,2280,15.96,128,15.96,5.61,15.96
Nawada,576,2.36,2,2.36,0.34,2.36,18,2.36,2,2.36,0.34,2.36,594,2.36,2,2.36,0.34,2.36
Pashchim Champaran,2864,5.89,65,5.89,2.20,5.89,88,5.89,65,5.89,2.20,5.89,2952,5.89,65,5.89,2.20,5.89
Patna,1608,29.07,67,29.07,4.04,29.07,50,29.07,67,29.07,4.04,29.07,1658,29.07,67,29.07,4.04,29.07
Purbi Champaran,2652,9.73,103,9.73,3.77,9.73,82,9.73,103,9.73,3.77,9.73,2734,9.73,103,9.73,3.77,9.73
Purnia,2600,19.63,333,19.63,12.43,19.63,80,19.63,333,19.63,12.43,19.63,2680,19.63,333,19.63,12.43,19.63
Rohtas,2108,4.60,16,4.60,0.74,4.60,66,4.60,16,4.60,0.74,4.60,2174,4.60,16,4.60,0.74,4.60
Saharsa,472,37.86,123,37.86,25.31,37.86,14,37.86,123,37.86,25.31,37.86,486,37.86,123,37.86,25.31,37.86
Samastipur,4698,7.72,96,7.72,1.98,7.72,146,7.72,96,7.72,1.98,7.72,4844,7.72,96,7.72,1.98,7.72
Saran,5290,3.34,93,3.34,1.71,3.34,164,3.34,93,3.34,1.71,3.34,5454,3.34,93,3.34,1.71,3.34
Sheikhpura,782,6.70,13,6.70,1.61,6.70,24,6.70,13,6.70,1.61,6.70,806,6.70,13,6.70,1.61,6.70
Sheohar,754,3.60,15,3.60,1.93,3.60,24,3.60,15,3.60,1.93,3.60,778,3.60,15,3.60,1.93,3.60
Sitamarhi,2180,9.25,46,9.25,2.05,9.25,68,9.25,46,9.25,2.05,9.25,2248,9.25,46,9.25,2.05,9.25
Siwan,6088,8.95,83,8.95,1.32,8.95,188,8.95,83,8.95,1.32,8.95,6276,8.95,83,8.95,1.32,8.95
Supaul,658,2.06,9,2.06,1.33,2.06,20,2.06,9,2.06,1.33,2.06,678,2.06,9,2.06,1.33,2.06
Vaishali,6118,1.97,21,1.97,0.33,1.97,190,1.97,21,1.97,0.33,1.97,6308,1.97,21,1.97,0.33,1.97
