district,application_received,application_accepted,sanctioned,sanctioned,rejected_returnred,rejected_returnred,pendency_more_than_15_days
Araria,352,350,20.00,20.00,78.00,78.00,7
Arwal,284,284,3.87,3.87,76.06,76.06,48
Aurangabad,625,610,4.10,4.10,88.36,88.36,33
Banka,297,297,22.56,22.56,73.06,73.06,5
Begusarai,498,440,13.41,13.41,73.86,73.86,41
Bhagalpur,14,14,0.00,0.00,100.00,100.00,0
Bhojpur,32,32,12.50,12.50,71.88,71.88,5
Buxar,218,218,61.47,61.47,38.53,38.53,0
Darbhanga,14,14,0.00,0.00,100.00,100.00,0
Gaya,487,487,27.52,27.52,71.87,71.87,3
Gopalganj,291,291,15.46,15.46,58.76,58.76,71
Jamui,500,500,3.00,3.00,72.60,72.60,111
Jehanabad,133,123,14.63,14.63,34.96,34.96,0
Kaimur (Bhabua),177,177,3.95,3.95,96.05,96.05,0
Katihar,255,234,1.71,1.71,56.84,56.84,95
Khagaria,1881,1881,0.05,0.05,99.52,99.52,8
Kishanganj,169,169,15.98,15.98,84.02,84.02,0
Lakhisarai,370,370,22.97,22.97,77.03,77.03,0
Madhepura,309,309,5.50,5.50,91.26,91.26,10
Madhubani,309,309,11.65,11.65,77.35,77.35,31
Munger,482,482,2.90,2.90,92.53,92.53,22
Muzaffarpur,571,571,14.01,14.01,73.38,73.38,62
Nalanda,91,91,12.09,12.09,85.71,85.71,2
Nawada,212,212,6.60,6.60,73.11,73.11,35
Pashchim Champaran,593,593,23.10,23.10,71.67,71.67,23
Patna,48,48,12.50,12.50,87.50,87.50,0
Purbi Champaran,290,283,22.97,22.97,45.58,45.58,84
Purnia,315,315,5.08,5.08,60.63,60.63,97
Rohtas,31,31,6.45,6.45,87.10,87.10,2
Saharsa,380,214,12.62,12.62,72.90,72.90,0
Samastipur,235,213,22.07,22.07,72.30,72.30,12
Saran,497,497,2.21,2.21,93.56,93.56,21
Sheikhpura,294,261,17.62,17.62,59.00,59.00,54
Sheohar,36,36,11.11,11.11,88.89,88.89,0
Sitamarhi,101,101,25.74,25.74,63.37,63.37,11
Siwan,255,255,15.29,15.29,61.57,61.57,53
Supaul,287,126,0.79,0.79,93.65,93.65,7
Vaishali,136,136,13.97,13.97,53.68,53.68,24
