district,target,forwarded_to_bank_no_of_prj_f,mm_involve_in_lakh_g,sanctioned_by_bank_no_of_prj_h,mm_involve_in_lakh_i,sanction,margin_money_claimed_no_of_prj_j,mm_in_lakh_k,disbursement_made_by_banks_no_of_prj_l,mm_in_lakh_m,disbursement,no_of_applications_returned_by_bank_no_of_prj_p,mm_involve_in_lakh_q,return,pending_at_bank_no_of_prj_r,mm_involve_in_lakh_s,pending_for_mm_disbursement_no_of_prj_t,mm_in_lakh_u
Araria,141,521,1484.13,137,306.12,97.16,144,352.13,47,101.35,34.31,291,867.21,55.85,96,269.73,112,293.45
Arwal,110,239,833.49,59,150.96,53.64,59,154.03,17,33.62,28.81,123,443.48,51.46,58,231.26,45,130.6
Aurangabad,146,822,2578.48,189,492.84,129.45,178,496.68,48,98.64,25.40,495,1577.17,60.22,157,546.83,152,455.93
Banka,124,781,2149.04,206,344.56,166.13,187,308.01,37,59.15,17.96,481,1513.33,61.59,96,268.59,167,289.27
Begusarai,127,839,2345.99,293,571.77,230.71,336,714.36,115,143.92,39.25,472,1480.31,56.26,81,271.8,276,648.4
Bhagalpur,114,1268,3555.58,411,861.28,360.53,369,816.92,88,173.83,21.41,675,2077.72,53.23,201,648.81,318,755.39
Bhojpur,132,1173,4291.78,198,467.23,150.00,203,547.69,66,142.59,33.33,669,2614.48,57.03,322,1219.86,164,477.22
Buxar,127,481,1488.74,150,320.74,118.11,142,337.75,54,135.25,36.00,208,727.46,43.24,137,452.55,116,295.24
Darbhanga,123,1209,3800.44,266,688.55,216.26,250,640.62,63,135.38,23.68,666,2191.46,55.09,289,875.35,200,555.32
Gaya,136,1366,4940.49,240,866.51,176.47,358,1116.52,106,313.51,44.17,824,2990.34,60.32,326,1148.28,280,946.45
Gopalganj,129,807,2828.12,168,473.38,130.23,176,554.56,58,173.86,34.52,419,1451.42,51.92,234,876.08,150,492.45
Jamui,138,583,1727.72,159,369.34,115.22,132,291.02,71,156.74,44.65,351,1098.12,60.21,76,232.45,94,236.74
Jehanabad,117,361,1349.01,86,249.51,73.50,99,295.79,31,102.85,36.05,199,762.25,55.12,76,320.7,85,271.62
Kaimur (Bhabua),129,513,1716.06,103,304.53,79.84,104,344.08,17,56.61,16.50,277,975.46,54.00,137,436.2,98,334.83
Katihar,138,620,1972.18,157,413.15,113.77,169,414.75,37,109.18,23.57,361,1170.72,58.23,106,369.03,150,381.3
Khagaria,112,548,1715,135,328.64,120.54,132,311.51,42,90.97,31.11,301,972.49,54.93,115,396.22,115,285.19
Kishanganj,135,484,1453.86,105,297.57,77.78,104,314.12,29,80.35,27.62,286,857.28,59.09,98,294.36,85,271.97
Lakhisarai,130,246,822.56,59,187.99,45.38,64,149.51,25,41.55,42.37,135,424.03,54.88,54,218.89,47,123.59
Madhepura,119,587,1640.33,98,173.38,82.35,123,251.14,29,52.82,29.59,356,1017.02,60.65,137,416.47,103,220.55
Madhubani,139,1541,4968.91,342,835.54,246.04,286,646.54,67,133.91,19.59,735,2413.95,47.70,464,1630.28,248,590.48
Munger,114,705,1621.24,189,292.2,165.79,175,312.3,47,69.25,24.87,377,991.57,53.48,141,330.26,144,275.27
Muzaffarpur,151,1429,5813.53,371,1229.75,245.70,346,1105.33,89,262.66,23.99,707,2980.33,49.48,374,1601.7,299,1024.77
Nalanda,138,1002,3398.77,227,626.36,164.49,279,941.27,64,193.79,28.19,547,1977.1,54.59,245,866.65,244,875.86
Nawada,120,655,2564.8,117,458.08,97.50,111,421.6,49,171.74,41.88,401,1531,61.22,143,584.13,96,381.5
Pashchim Champaran,124,890,3394.6,170,517.91,137.10,234,699.33,52,186.32,30.59,524,2024.69,58.88,205,801.25,205,642.95
Patna,205,1871,7794.87,445,1527.77,217.07,569,1926.46,156,350.73,35.06,1166,5050.6,62.32,287,1249.65,465,1806.27
Purbi Champaran,124,1082,4524.39,250,889.86,201.61,223,721.9,59,121.81,23.60,603,2520.48,55.73,253,1170.2,188,659.17
Purnia,132,1100,3435.26,161,449.62,121.97,227,605.43,68,134.78,42.24,740,2243.75,67.27,208,688.71,184,539.34
Rohtas,131,1190,3632.71,224,588.55,170.99,248,692.34,51,122.62,22.77,694,2180.93,58.32,284,863.49,225,652.61
Saharsa,119,603,1673.75,122,241.82,102.52,149,309.99,24,44.35,19.67,334,992.77,55.39,147,387.74,130,275.18
Samastipur,119,1087,3709.11,300,718.66,252.10,312,908.84,96,232.94,32.00,583,2193.6,53.63,213,774.16,269,852.02
Saran,124,1190,5685.51,180,737.37,145.16,278,1193.15,42,176.99,23.33,609,2949.69,51.18,408,1962.53,255,1123.66
Sheikhpura,137,418,1191.04,74,182.67,54.01,74,176.69,27,67.23,36.49,246,731.09,58.85,98,257.73,57,148.99
Sheohar,133,279,791.44,62,152.54,46.62,41,102.4,11,20.38,17.74,140,399.86,50.18,81,235.54,38,96.95
Sitamarhi,125,814,3027.56,194,551.42,155.20,200,610.91,43,133.94,22.16,440,1701.89,54.05,189,719.27,177,561.56
Siwan,137,1329,4460.22,268,873.64,195.62,281,963.96,83,282.52,30.97,664,2185.64,49.96,413,1409.51,257,917.01
Supaul,121,439,1344.34,154,407.6,127.27,194,544.14,39,97.02,25.32,216,707.2,49.20,75,197.42,171,494.76
Vaishali,125,994,4725.2,225,835.12,180.00,224,824.99,63,190.02,28.00,583,2925.32,58.65,196,972.09,190,763.32
