district,lead_bank,date_of_establishment_of_rseti,land_allotted_by_state_govt_yes_no,mou_for_land_executed_with_the_district_administra_tion_yes,grant_received_from_nird_yes_no,map_approved_by_local_authority_yes_no,constructio_n_started_yes_no,details_of_training_programme_organised_during_financial_yea,no_of_training_programm_es_organised,no_of_persons_trained,since_inception_no_of_training_programm_es_organised,no_of_persons_trained,as_on_30_09_2024_no_of_trainees_settled,no_of_trainees_settled_with_bank_finance,as_on_sept_2024_name_of_the_agency_viz_drda_kvic_nabard_etc,amt_of_reimburseme_nt_claim_pending_amt_in_lacs
Araria,STATE BANK OF INDIA,19/02/2010,YES,YES,YES,YES,YES,0,28,7854,273,7854,6186,3377,SRLM,42
Arwal,PUNJAB NATIONAL BANK,12/12/2011,YES,YES,YES,YES,YES,375,12,9326,317,9326,9291,3440,SRLM,47
Aurangabad,PUNJAB NATIONAL BANK,29/02/2012,YES,YES,YES,YES,YES,0,28,10064,344,10064,7499,3416,SRLM,131
Banka,UCO BANK,30/06/2011,YES,YES,YES,YES,YES,280,32,7802,259,7802,4679,1968,SRLM,108
Begusarai,UCO BANK,29/07/2011,YES,YES,YES,YES,YES,366,38,9534,320,9534,6492,3168,SRLM,141
Bhagalpur,UCO BANK,14/03/2011,YES,YES,YES,YES,YES,152,34,8105,261,8105,5127,2045,SRLM,88
Bhojpur,PUNJAB NATIONAL BANK,28/03/2012,YES,YES,YES,YES,YES,86,27,8380,276,8380,5900,2257,SRLM,10
Buxar,PUNJAB NATIONAL BANK,26/12/2012,YES,YES,YES,YES,YES,0,29,7815,288,7815,5165,1965,SRLM,52
Darbhanga,CENTRAL BANK OF INDIA,27/11/2010,YES,YES,YES,YES,YES,8,26,8842,793,8842,6191,2551,SRLM,87
Gaya,PUNJAB NATIONAL BANK,24/03/2010,YES,YES,NO,YES,YES,2,29,13475,477,13475,9070,4093,SRLM,0
Gopalganj,CENTRAL BANK OF INDIA,10/2/2011,YES,YES,YES,YES,YES,10,20,6927,622,6927,4821,1954,SRLM,70
Jamui,STATE BANK OF INDIA,26/03/2011,YES,YES,YES,YES,YES,0,30,7796,275,7796,5896,3378,SRLM,1
Jehanabad,PUNJAB NATIONAL BANK,30/09/2011,YES,YES,YES,YES,YES,65,34,10116,351,10116,7212,3952,SRLM,82
Kaimur (Bhabua),PUNJAB NATIONAL BANK,29/12/2011,YES,YES,YES,YES,YES,0,30,9221,334,9221,6237,1928,SRLM,122
Katihar,CENTRAL BANK OF INDIA,1/10/2011,YES,YES,YES,YES,YES,12,23,7742,811,7742,447,276,SRLM,0
Khagaria,UNION BANK OF INDIA,23/03/2009,YES,YES,YES,YES,YES,3,22,8915,292,8915,5867,1068,SRLM,81
Kishanganj,STATE BANK OF INDIA,19/03/2010,YES,YES,YES,YES,YES,0,28,9190,308,9190,6918,3923,SRLM,92
