District,"Total No. of
Enrolment under
PMJJBY","Total No of eligible
cases under PMJJBY","Total No of
renewals under
PMJJBY","Total No. of
Enrolment under
PMSBY","Total No. of eligible
cases under PMSBY","Total No. of
renewals under
PMSBY","Total No. of
Enrolment under
APY"
Araria,165444,1385680,122586,610834,2037291,577265,159180
Arwal,89687,486599,47804,244777,731298,185223,43763
Aurangabad,290586,1494358,131485,873344,2325632,642281,174208
Banka,186734,1235708,131852,520580,1761273,447435,117678
Begusarai,330538,1835245,203192,760827,2561274,675180,170382
Bhagalpur,269510,2047680,178674,749096,2805502,653071,150719
Bhojpur,252128,1445073,146771,923898,2368766,737803,192994
Buxar,176058,912182,100746,584758,1484254,428492,106033
Darbhanga,241813,2467687,173384,635993,3384268,642435,167460
Gaya,474470,2765693,225175,1449711,3893374,1191437,325332
Gopalganj,201860,2046884,171506,573684,2777654,594580,158915
Jamui,246541,955003,173049,579328,1428902,557463,109905
Jehanabad,92075,631460,54065,351584,987474,260153,64334
Kaimur (Bhabua),152256,939304,84833,508534,1427249,403271,103341
Katihar,212130,1937990,138881,615460,2606519,535405,135264
Khagaria,164006,954515,111482,430878,1439915,390204,78003
Kishanganj,94035,944746,69559,370890,1388897,356163,80631
Lakhisarai,99552,552354,67938,252147,777366,249173,50044
Madhepura,161064,1163042,126015,461432,1657446,454093,124024
Madhubani,272154,2749760,188248,735744,3761339,809016,194455
Munger,150107,857467,97854,376835,1228944,345934,70288
Muzaffarpur,383704,3604978,271365,1054647,4792250,1030461,299885
Nalanda,268000,1450308,164390,1069260,2564574,789179,184535
Nawada,227481,1167747,115377,775072,1863494,597550,147377
Pashchim Champaran,278435,2495026,196146,829478,3453991,817898,192188
Patna,574651,5828462,377662,1756931,8337949,1487536,327093
Purbi Champaran,361609,2998333,249768,997620,4294917,910999,176163
Purnia,239070,1919004,190423,851950,2753472,808913,227488
Rohtas,233748,1651325,147217,834951,2655272,595667,180601
Saharsa,151015,1211001,94455,429033,1640969,401540,100050
Samastipur,431635,2648717,296804,1166054,3836386,1086682,242105
Saran,315693,2805878,228458,898062,3964174,866009,216238
Sheikhpura,80889,394568,60009,235251,557880,257799,33041
Sheohar,35351,319853,28774,102294,441629,110865,24634
Sitamarhi,242360,1878803,159832,686074,2614496,620456,129536
Siwan,243629,2662946,204546,715562,3522017,792402,196125
Supaul,184458,1519411,137123,535573,2073919,517287,120699
Vaishali,272970,2505779,214240,801881,3376248,788891,179381
