District,Non Priority Sector Agriculture (NPS) A/c,Amt,Education (NPS) A/c,Amt,Housing (NPS) A/c,Amt,Personal Loans under NPS A/c,Amt,Others NPS A/c,Amt,Total Non Priority Sector A/c,Amt
Araria,2195,11.48,25,6.44,1177,198.68,14303,254.76,77089,1413.18,94789,1884.55
Arwal,2,0.03,2,0.74,196,42.12,3698,89.24,11568,250.73,15466,382.86
Aurangabad,508,3.88,19,3.12,1399,246.2,13908,316.95,40663,2221.55,56497,2791.7
Banka,462,5.48,10,1.47,547,101.21,7158,140.41,29122,732.53,37299,981.11
Begusarai,1288,33,65,15.82,3373,585.81,25915,546.74,107111,2159.88,137752,3341.25
Bhagalpur,1455,28.87,112,25.92,5666,1103.44,30939,666.19,106410,2656.01,144582,4480.42
Bhojpur,159,5.83,29,7.58,2399,440.88,17733,399.09,76813,1642.4,97133,2495.78
Buxar,420,5.49,24,4.41,1083,198.75,13305,275.16,39222,912.8,54054,1396.6
Darbhanga,1824,11.51,82,20.74,4648,799.71,26553,655.04,105603,2360.73,138710,3847.73
Gaya,1309,7.31,429,66.29,5648,1027.85,34362,884.26,125859,2871.67,167607,4857.39
Gopalganj,1308,42.06,24,4.71,1023,169.84,19314,365.03,53324,1071.33,74993,1652.97
Jamui,13,2.81,7,1.42,513,101.29,7538,180.5,36186,837.16,44257,1123.19
Jehanabad,15,0.49,8,1,813,131.73,9301,188.09,27981,537.89,38118,859.2
Kaimur (Bhabua),244,1.66,12,3.49,597,102.65,7572,172.38,26524,665.38,34949,945.55
Katihar,474,4.44,49,12.01,2518,393.89,17512,407.4,89208,1674.09,109761,2491.82
Khagaria,357,3.07,13,2.78,497,100.47,10380,204.72,36797,745.23,48044,1056.27
Kishanganj,796,7.82,26,6.11,830,132.6,9317,145.91,48948,947.42,59917,1239.86
Lakhisarai,22,0.26,12,2.07,384,83.41,6395,128.67,23384,524.56,30197,738.97
Madhepura,1039,6.16,12,2.26,631,121.27,10150,190.42,40118,958.49,51950,1278.61
Madhubani,418,5.68,42,9.2,2074,329.84,19510,465.5,82278,1771.67,104322,2581.89
Munger,306,0.76,19,3.84,1125,165.07,14028,310.44,47804,1168.58,63282,1648.7
Muzaffarpur,676,49.52,188,41.98,9268,1545.91,61527,1238.8,229964,5935.46,301623,8811.66
Nalanda,366,3.21,39,9.3,2287,459.41,20583,424.44,79518,1474.97,102793,2371.33
Nawada,238,3.28,18,4.49,1357,246.57,11343,239.55,48615,881.9,61571,1375.79
Pashchim Champaran,723,9.92,38,8.67,1871,243.89,30341,492.13,78745,1872.68,111718,2627.28
Patna,546,1372.76,1194,288.6,51953,11401.23,247199,4913.87,717391,34528.01,1018283,52504.47
Purbi Champaran,929,11.92,41,9.06,2497,406.32,28943,710.97,144659,2681.64,177069,3819.92
Purnia,1482,10.81,70,17.78,4796,797.84,20309,421.23,112971,2187.63,139628,3435.29
Rohtas,914,7.56,40,6.89,2055,418.97,19201,429.35,63959,1560.88,86169,2423.64
Saharsa,532,5.97,32,7.23,1325,232.02,10111,272.95,34954,906.64,46954,1424.8
Samastipur,1030,18.8,51,11.58,2438,488.82,31853,767.84,121123,1967.25,156495,3254.28
Saran,399,8.19,34,6.92,2617,364.63,25753,561.6,99701,1939.26,128504,2880.61
Sheikhpura,5,0.14,5,0.94,315,73.32,5036,77.29,14565,385.86,19926,537.54
Sheohar,175,10.38,5,1.09,176,30.51,6046,91.08,10764,212.91,17166,345.97
Sitamarhi,1095,71.77,48,11.54,1582,281.96,19144,389.45,62318,1248.8,84187,2003.51
Siwan,729,5.25,41,7.66,2017,305.79,23612,480.49,94998,1618.39,121397,2417.59
Supaul,223,5.51,19,3.3,683,135.59,9374,218.13,43763,1182.36,54062,1544.89
Vaishali,580,4.72,63,13.53,2842,550.13,36903,659.45,131264,1926.82,171652,3154.66
