district,shishu_account,amount,kishor_account,amount,tarun_account,amount,total_account,amount
Araria,50101,454.05,49495,454.05,1307,454.05,100903,454.05
Arwal,6182,67.93,3605,67.93,275,67.93,10062,67.93
Aurangabad,20238,225.76,14942,225.76,945,225.76,36125,225.76
Banka,26356,229.98,18028,229.98,562,229.98,44946,229.98
Begusarai,63824,584.24,61020,584.24,1625,584.24,126469,584.24
Bhagalpur,52054,508.67,51706,508.67,1802,508.67,105562,508.67
Bhojpur,20186,239.99,17036,239.99,1218,239.99,38440,239.99
Buxar,15183,173.79,13152,173.79,798,173.79,29133,173.79
Darbhanga,46703,456.97,58996,456.97,1784,456.97,107483,456.97
Gaya,70742,647.33,53369,647.33,2029,647.33,126140,647.33
Gopalganj,26078,288.11,33941,288.11,1466,288.11,61485,288.11
Jamui,25043,214.36,23491,214.36,529,214.36,49063,214.36
Jehanabad,8167,92.90,10305,92.90,457,92.90,18929,92.90
Kaimur (Bhabua),13787,147.15,11733,147.15,688,147.15,26208,147.15
Katihar,49446,461.71,58598,461.71,1594,461.71,109638,461.71
Khagaria,26561,256.52,20342,256.52,796,256.52,47699,256.52
Kishanganj,35814,292.77,44659,292.77,730,292.77,81203,292.77
Lakhisarai,9223,96.98,10316,96.98,374,96.98,19913,96.98
Madhepura,23784,227.19,25021,227.19,906,227.19,49711,227.19
Madhubani,55043,529.34,44471,529.34,2288,529.34,101802,529.34
Munger,20576,200.60,16220,200.60,695,200.60,37491,200.60
Muzaffarpur,91976,942.12,70673,942.12,3219,942.12,165868,942.12
Nalanda,24715,283.91,23777,283.91,1404,283.91,49896,283.91
Nawada,26135,257.33,23721,257.33,870,257.33,50726,257.33
Pashchim Champaran,50106,507.99,46848,507.99,1837,507.99,98791,507.99
Patna,203694,2112.10,103015,2112.10,6264,2112.10,312973,2112.10
Purbi Champaran,43822,534.34,47035,534.34,2861,534.34,93718,534.34
Purnia,39939,454.25,51321,454.25,2212,454.25,93472,454.25
Rohtas,37089,375.31,22961,375.31,1432,375.31,61482,375.31
Saharsa,22667,216.18,21735,216.18,881,216.18,45283,216.18
Samastipur,66488,650.92,60318,650.92,2272,650.92,129078,650.92
Saran,55517,589.62,58533,589.62,2577,589.62,116627,589.62
Sheikhpura,6230,76.33,4540,76.33,383,76.33,11153,76.33
Sheohar,4780,50.12,4109,50.12,336,50.12,9225,50.12
Sitamarhi,34449,341.85,30399,341.85,1458,341.85,66306,341.85
Siwan,42188,452.84,46363,452.84,1843,452.84,90394,452.84
Supaul,14128,172.97,17203,172.97,1077,172.97,32408,172.97
Vaishali,62373,601.83,58483,601.83,2054,601.83,122910,601.83
