district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,2387,4.06,417,4.06,17.47,4.06
Arwal,745,5.15,132,5.15,17.72,5.15
Aurangabad,3635,5.23,972,5.23,26.74,5.23
Banka,1281,3.22,228,3.22,17.80,3.22
Begusarai,2318,5.52,185,5.52,7.98,5.52
Bhagalpur,2034,6.98,556,6.98,27.34,6.98
Bhojpur,1987,1.85,125,1.85,6.29,1.85
Buxar,1182,0.57,31,0.57,2.62,0.57
Darbhanga,2635,4.12,260,4.12,9.87,4.12
Gaya,4032,3.42,721,3.42,17.88,3.42
Gopalganj,1478,13.62,409,13.62,27.67,13.62
Jamui,837,5.82,210,5.82,25.09,5.82
Jehanabad,946,2.50,99,2.50,10.47,2.50
Kaimur (Bhabua),1994,1.05,66,1.05,3.31,1.05
Katihar,1818,11.99,882,11.99,48.51,11.99
Khagaria,363,8.41,79,8.41,21.76,8.41
Kishanganj,1756,5.45,502,5.45,28.59,5.45
Lakhisarai,1836,0.52,41,0.52,2.23,0.52
Madhepura,1178,4.29,141,4.29,11.97,4.29
Madhubani,3198,9.86,735,9.86,22.98,9.86
Munger,2100,1.34,171,1.34,8.14,1.34
Muzaffarpur,4326,10.63,555,10.63,12.83,10.63
Nalanda,2890,3.10,187,3.10,6.47,3.10
Nawada,734,8.54,113,8.54,15.40,8.54
Pashchim Champaran,3135,3.26,195,3.26,6.22,3.26
Patna,7808,3.61,509,3.61,6.52,3.61
Purbi Champaran,1681,8.72,437,8.72,26.00,8.72
Purnia,2566,9.81,821,9.81,32.00,9.81
Rohtas,2002,3.14,188,3.14,9.39,3.14
Saharsa,666,3.88,152,3.88,22.82,3.88
Samastipur,3742,5.10,230,5.10,6.15,5.10
Saran,2836,4.28,520,4.28,18.34,4.28
Sheikhpura,734,3.19,67,3.19,9.13,3.19
Sheohar,583,1.51,18,1.51,3.09,1.51
Sitamarhi,2303,7.44,275,7.44,11.94,7.44
Siwan,3448,5.14,482,5.14,13.98,5.14
Supaul,946,3.37,72,3.37,7.61,3.37
Vaishali,2840,8.89,504,8.89,17.75,8.89
