district,agri_npa_crop_loan_no,agri_npa_crop_loan,agri_npa_term_loan_no,agri_npa_term_loan,agri_npa_total_farm_credit_no,agri_npa_total_farm_credit,agri_npa_infrastructure_no,agri_npa_infrastructure,agri_npa_ancillary_no,agri_npa_ancillary,agri_npa_total_no,agri_npa_total
Araria,40,0.7,0,0,8,1.42,893,7.48,4300,36.48,5241,46.08
Arwal,0,0,0,0,3,0.29,143,1.8,786,8.4,932,10.49
Aurangabad,60,0.37,0,0,24,4.99,479,7.14,2830,22.62,3393,35.12
Banka,128,1.36,0,0,6,0.53,408,3.37,2084,17.86,2626,23.12
Begusarai,106,1.74,0,0,16,1.71,804,8.64,6802,45.25,7728,57.34
Bhagalpur,728,10.63,1,0.04,32,6.01,1153,10.62,6454,57.84,8368,85.14
Bhojpur,35,1.88,1,0.01,27,1.76,705,6.38,7762,35.45,8530,45.48
Buxar,18,0.29,3,0.2,17,1.01,625,5.65,2534,18.74,3197,25.89
Darbhanga,79,1.81,1,0.01,33,4.29,893,9.39,7786,39.83,8792,55.33
Gaya,50,1.21,3,0.35,66,8.09,1591,16.42,9567,84.68,11277,110.75
Gopalganj,114,1.14,2,0.09,33,2.18,937,8.63,2851,20.36,3937,32.4
Jamui,0,0,1,0.01,32,0.86,595,5.92,2249,18.87,2877,25.66
Jehanabad,7,0.05,2,0.05,10,2.68,293,2.62,2139,17.99,2451,23.39
Kaimur (Bhabua),11,0.24,0,0,10,1.26,324,4.17,1848,12.14,2193,17.81
Katihar,42,1.06,1,0.03,17,1.63,1191,10.21,3386,25.3,4637,38.23
Khagaria,19,0.37,2,0.14,9,0.64,496,6.02,2441,16.9,2967,24.07
Kishanganj,10,0.3,0,0,10,0.68,540,4.43,2485,17.45,3045,22.86
Lakhisarai,1,0.01,0,0,4,0.23,392,2.91,1338,9.03,1735,12.18
Madhepura,23,0.13,1,0.05,4,0.28,455,3.14,2232,14.1,2715,17.7
Madhubani,15,0.31,1,0.04,10,0.84,793,7.71,4701,28,5520,36.9
Munger,7,0.07,1,0.05,181,4.72,613,7.84,2862,19.02,3664,31.7
Muzaffarpur,68,36.4,9,0.75,113,11.09,3131,28.61,14637,95.14,17958,171.99
Nalanda,20,0.37,0,0,32,2.84,932,11.34,5757,29.04,6741,43.59
Nawada,31,0.93,1,0.04,14,1.41,327,3.36,3127,20.93,3500,26.67
Pashchim Champaran,88,1.13,1,0.02,8,0.94,1158,9.36,6112,38.12,7367,49.57
Patna,338,11.38,15,0.64,395,67.6,9930,109.28,41461,530.19,52139,719.09
Purbi Champaran,142,1.76,1,0.02,17,1.47,1425,14.51,8711,65.59,10296,83.35
Purnia,136,1.12,1,0.1,70,4.39,864,7.91,7022,40.92,8093,54.44
Rohtas,360,4.95,6,0.21,27,2.87,733,7.45,4662,33.31,5788,48.79
Saharsa,27,0.45,0,0,6,0.73,468,4.77,2450,15.07,2951,21.02
Samastipur,180,4.05,0,0,26,2.36,1231,13.79,10464,52.19,11901,72.39
Saran,42,0.55,5,0.52,31,2.16,977,9.38,6570,40.05,7625,52.66
Sheikhpura,0,0,0,0,4,0.29,179,1.46,770,6.93,953,8.68
Sheohar,6,0.1,1,0.01,3,0.25,396,2.68,797,7.86,1203,10.9
Sitamarhi,81,4.89,1,0.03,22,1.29,1054,6.92,4193,25.78,5351,38.91
Siwan,71,0.65,2,0.12,20,3.39,779,8.08,5352,149.89,6224,162.13
Supaul,10,0.26,1,0.02,5,1.33,547,4.08,2720,13.99,3283,19.68
Vaishali,134,1.61,4,0.1,30,7.68,1923,15.55,6263,54.7,8354,79.64
