District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRI No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,228,7.14,95918,813.39,29,1.04,81,2.11,2,0.15,127,6.49,96385,830.32
Arwal,36,0.37,2875,27.36,11,0.24,26,0.42,0,0,14,0.05,2962,28.44
Aurangabad,120,3.07,11737,135.07,38,0.35,69,6.41,7,0.29,82,0.7,12053,145.89
Banka,99,2.12,12987,100.12,24,0.54,82,1.57,1,0.07,19,0.33,13212,104.75
Begusarai,171,2.9,41530,298.61,1339,11.47,111,2.15,2,0.04,93,1.02,43246,316.19
Bhagalpur,201,5.32,42124,395.34,535,3.58,130,4.59,2,0,79,14.08,43071,422.91
Bhojpur,152,1.84,38033,173.46,34,0.8,95,3.51,0,0,58,7.72,38372,187.33
Buxar,51,2.65,6970,63.76,27,0.61,73,3.45,1,0,39,0.53,7161,71
Darbhanga,278,6.52,41014,443.39,847,7.4,92,6.84,4,0.12,52,1.87,42287,466.14
Gaya,3433,18.07,94643,520.08,15074,33.99,1309,7.48,377,0.57,198,11.02,115034,591.21
Gopalganj,145,1.95,22829,246.44,95,2.91,108,1.95,3,0.09,59,0.39,23239,253.73
Jamui,209,3.02,12833,112.65,58,0.15,101,0.86,1,0.01,42,0.35,13244,117.04
Jehanabad,5,0.15,4506,45.6,5,0.47,12,1,0,0,8,0.13,4536,47.35
Kaimur (Bhabua),45,0.62,7986,91.6,16,0.18,34,0.62,1,0.05,25,0.34,8107,93.41
Katihar,1112,17,86786,866.76,66,1.06,244,5.12,2,0.01,44,0.37,88254,890.32
Khagaria,67,1.29,9686,86.86,29,0.49,50,0.45,5,0.07,23,0.12,9860,89.28
Kishanganj,697,9.25,120621,1089.08,45,0.42,51,2,0,0,111,3.16,121525,1103.91
Lakhisarai,20,0.24,2928,23.96,4,0.01,30,0.29,9,0.05,16,0.15,3007,24.7
Madhepura,132,1.79,36232,169.53,46,0.4,68,0.45,1,0,85,0.64,36564,172.81
Madhubani,177,3.03,46555,395.34,40,1.52,75,1.71,4,0.06,46,0.75,46897,402.41
Munger,108,1.9,7634,94.17,25,0.5,104,2.65,3,0.02,29,0.7,7903,99.94
Muzaffarpur,734,10.38,102285,670.81,1157,11.5,528,15.9,6,0.06,202,1.75,104912,710.4
Nalanda,174,5.52,11954,132.15,220,2.71,78,3.66,6,0.01,55,0.99,12487,145.04
Nawada,62,1.39,11723,105.55,48,1.98,23,0.43,0,0,39,0.32,11895,109.67
Pashchim Champaran,559,15.5,43235,431.43,109,2.4,188,4.94,3,0,102,1.14,44196,455.41
Patna,1505,68.17,340143,1704.93,2408,39.4,738,64.05,19,0.57,271,11.57,345084,1888.69
Purbi Champaran,356,9.08,89778,680.14,708,51.86,257,2.15,269,4.41,171,1.7,91539,749.34
Purnia,778,12.4,116169,1090.36,322,4.39,145,7.08,5,0.02,91,9.3,117510,1123.55
Rohtas,125,2.77,15407,172.39,90,1.94,354,9.51,13,0.02,51,0.34,16040,186.97
Saharsa,244,3.27,21150,184.63,35,0.24,64,4.3,1,0.01,14,0.11,21508,192.56
Samastipur,322,5.14,30055,284.8,133,2.76,252,3.85,6,0.06,100,1.64,30868,298.25
Saran,216,3.53,22616,225.48,117,2.02,176,3.29,11,0.08,80,0.94,23216,235.34
Sheikhpura,95,2.63,2696,30.05,54,0.93,57,0.84,3,0.05,27,0.44,2932,34.94
Sheohar,13,0.12,4483,41.11,37,0.37,19,0.21,1,0,10,0.23,4563,42.04
Sitamarhi,128,2.68,24422,242.88,133,3.69,243,3.6,0,0,43,0.81,24969,253.66
Siwan,1548,7.36,166419,673.03,286,2.25,165,4.49,4,0.04,68,1.33,168490,688.5
Supaul,341,3.91,16294,180.7,77,0.9,72,1.81,1,0,32,1.03,16817,188.35
Vaishali,754,4.94,360168,886.73,275,6.83,267,6.11,8,0.07,98,1.58,361570,906.26
