district,no_of_kcc_for_animal_husbandary_issued_during_quarter_includ,amount_disbursed_during_quarter,total_no_of_kcc_for_animal_husbandary_as_on_end_of_current_q,outstanding_amount_as_on_end_of_current_quarter,out_of_total_no_of_kcc_for_animal_husbandary_number_of_rupay,kcc_card_activated,no_of_kcc_for_animal_husbandary_issued_during_fin_year_inclu,amount_disbursed_fin_year
Araria,804,7.33,2301,19.46,150,135,1680,14.92
Arwal,54,0.4,152,1.31,24,16,112,0.95
Aurangabad,75,1.1,416,3.7,68,50,199,2.69
Banka,427,2.26,1655,14.73,431,387,1233,7.34
Begusarai,486,5.24,3556,51.43,875,638,1272,18.2
Bhagalpur,1265,10.18,2841,25.9,327,297,2715,23.8
Bhojpur,285,1.77,902,6.81,30,23,549,4.06
Buxar,173,1.22,1990,12.65,81,59,386,1.99
Darbhanga,2069,22.82,8958,148.43,491,253,3104,28.83
Gaya,241,1.59,661,5.51,294,252,736,5.09
Gopalganj,390,2.93,2334,35.46,543,447,799,8.97
Jamui,535,1.71,1589,12.07,636,515,1505,4.59
Jehanabad,147,0.76,440,3.94,126,88,452,2.13
Kaimur (Bhabua),134,1.35,1200,8.78,30,21,311,2.98
Katihar,234,1.7,1585,17.69,138,88,640,4.75
Khagaria,1461,8.76,3426,39.43,264,207,2813,22.72
Kishanganj,292,2.04,1380,13.54,210,185,796,4.23
Lakhisarai,465,3.04,1223,13.12,276,218,1039,9.35
Madhepura,344,2.27,867,5.61,96,69,776,4.76
Madhubani,457,4.92,3512,66.24,137,67,741,6.62
Munger,456,2.66,1170,12.2,142,116,937,8.97
Muzaffarpur,1677,17.6,5349,72.12,740,489,3242,44.57
Nalanda,588,4.7,1604,16.45,288,248,1023,9.05
Nawada,134,0.82,1070,6.12,39,30,270,1.49
Pashchim Champaran,1154,12.08,3805,50.3,374,234,2789,26.55
Patna,561,3.97,2018,27.01,366,273,1228,15.03
Purbi Champaran,2104,26.25,4301,53.36,180,119,4658,60.17
Purnia,195,1.32,1551,14.89,101,59,689,3.73
Rohtas,80,0.63,418,3.28,125,100,237,1.61
Saharsa,212,2.96,1187,11.54,564,464,861,8.13
Samastipur,1811,12.83,4570,52,661,562,3938,37.79
Saran,702,5.01,1939,35.6,104,56,1110,8.27
Sheikhpura,257,2.13,1420,11.44,330,285,549,3.99
Sheohar,359,7.07,2237,27.19,63,15,873,14.31
Sitamarhi,963,7.83,5363,76.73,226,182,1466,12.4
Siwan,684,6.44,2813,70.66,190,144,866,8.61
Supaul,133,1.03,906,14.89,88,55,204,1.99
Vaishali,985,10.28,4009,69.86,413,273,1352,17.66
