district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,93955,1041.65,114330,772.89,69798,374.17,42,15.88,1470,113.74,209797,1944.15
Arwal,27233,274.99,11997,75.56,6261,34.08,10,4.4,509,26.03,39749,380.97
Aurangabad,105444,1148.55,70028,448.57,38837,167.08,84,12.5,1351,129.44,176907,1739.07
Banka,83490,711.32,63078,325.08,51548,209.63,49,6.55,1527,66.27,148144,1109.21
Begusarai,178714,1633.55,186504,936.39,133947,545.47,90,43.7,3116,230.75,368424,2844.38
Bhagalpur,107017,999.73,122034,684.3,67144,319.02,73,17.31,2999,129.31,232123,1830.66
Bhojpur,113163,845.66,185780,737.86,66583,261.18,164,16.66,1296,101.89,300403,1702.08
Buxar,83205,760.39,52117,280.74,29436,120.58,75,6.21,1314,141.84,136711,1189.18
Darbhanga,70223,778.09,262228,1183.17,221866,894.18,145,7.39,3794,172.37,336390,2141.02
Gaya,162160,1530.14,509890,1834.1,99149,491.91,207,10.61,5278,441.43,677535,3816.29
Gopalganj,137236,1456.09,125728,655.71,117499,594.63,28,0.72,1359,56.67,264351,2169.19
Jamui,101628,840.26,30596,212.2,23631,115.65,24,2.51,901,90.13,133149,1145.1
Jehanabad,36697,394.01,21221,188.34,8134,60.94,23,0.64,962,75.05,58903,658.04
Kaimur (Bhabua),77722,972.73,38328,262.33,23172,95.02,69,8.82,1341,196.87,117460,1440.75
Katihar,97217,1212.02,194317,1120.34,174367,1062.07,86,26.2,2404,139.88,294024,2498.43
Khagaria,110165,889.66,66669,416.45,55222,244.35,24,12.72,1191,41.22,178049,1360.05
Kishanganj,70311,755.41,69340,564.09,45721,304.7,23,33.98,2208,52.74,141882,1406.23
Lakhisarai,56474,499.95,23659,137.13,19444,86.07,36,1.21,806,37.81,80975,676.09
Madhepura,48915,683.4,164718,788.36,132758,431.42,67,7.54,1558,53.84,215258,1533.14
Madhubani,114143,1142.23,197975,1089.01,103557,451.89,167,14.01,2397,92.74,314682,2337.99
Munger,56606,439.45,31138,163.83,26706,116.82,19,3.93,976,64.75,88739,671.97
Muzaffarpur,202846,1949,383432,1921.86,260683,1080.65,362,40.15,7838,627.29,594478,4538.3
Nalanda,116976,1095.05,58605,490.96,36806,203.66,98,13.17,1840,219.32,177519,1818.49
Nawada,105513,935.05,41047,345.36,24436,117.1,61,3.05,1659,76.16,148280,1359.63
Pashchim Champaran,156880,1506.77,158849,1000.7,110391,559.42,84,19.68,1817,168.93,317630,2696.08
Patna,158594,3208.31,1547635,5187.84,755993,2418.8,564,127.82,10952,1868.36,1717745,10392.34
Purbi Champaran,251342,2368.55,259984,1615.95,181995,995.37,51,18.25,5039,357.78,516416,4360.53
Purnia,121591,1275.64,148278,1108.31,98099,529.87,292,84.94,2399,305.89,272560,2774.78
Rohtas,129310,1636.45,64175,406.37,39716,175.04,165,32.33,2447,284.26,196097,2359.41
Saharsa,58681,688.58,79314,573.58,46760,207.24,25,4.13,3000,137.02,141020,1403.32
Samastipur,217122,1927.26,182065,985.27,113285,565.68,115,68.34,3520,208.58,402822,3189.45
Saran,98667,1332.21,214038,1124.72,180756,758.94,33,3.73,4037,117.1,316775,2577.77
Sheikhpura,38179,354.48,12410,70.2,10752,70.19,15,0.62,397,26.35,51001,451.66
Sheohar,24033,218.67,21580,225.63,12277,124.65,5,0.83,672,24.03,46290,469.16
Sitamarhi,95752,921.63,93876,806.74,51655,458.64,77,10.67,3857,120.18,193562,1859.22
Siwan,149874,1276.05,552484,1941.94,167012,817.74,166,13.94,2717,189.45,705241,3421.38
Supaul,79118,789.71,51912,519.07,32615,226.35,31,2.14,2583,66.73,133644,1377.65
Vaishali,282699,1850.22,1118654,3162.31,129369,704.95,149,18.38,5891,298.64,1407393,5329.56
