District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,501.98,306,329.20,65.58
Arwal,175.37,83,45.10,25.72
Aurangabad,475.32,195,242.80,51.08
Banka,356.28,66,60.89,17.09
Begusarai,759.33,447,625.37,82.36
Bhagalpur,984.26,511,566.95,57.60
Bhojpur,735.53,260,256.21,34.83
Buxar,366.39,346,118.54,32.35
Darbhanga,734.37,429,387.88,52.82
Gaya,1070.83,526,571.60,53.38
Gopalganj,388.05,180,145.36,37.46
Jamui,289.50,106,109.93,37.97
Jehanabad,311.17,121,40.12,12.89
Kaimur (Bhabua),359.08,122,90.82,25.29
Katihar,670.37,301,356.43,53.17
Khagaria,324.24,150,135.80,41.88
Kishanganj,330.19,131,129.79,39.31
Lakhisarai,258.67,56,28.26,10.93
Madhepura,357.43,136,121.11,33.88
Madhubani,730.20,226,211.88,29.02
Munger,397.55,94,53.01,13.33
Muzaffarpur,1352.13,888,1135.22,83.96
Nalanda,648.14,428,257.63,39.75
Nawada,344.26,239,108.06,31.39
Pashchim Champaran,620.62,403,340.67,54.89
Patna,4759.16,3672,4934.52,103.68
Purbi Champaran,862.20,481,430.21,49.90
Purnia,759.53,542,683.77,90.03
Rohtas,677.20,313,303.36,44.80
Saharsa,319.18,195,229.75,71.98
Samastipur,851.89,505,397.70,46.68
Saran,810.30,258,205.27,25.33
Sheikhpura,167.93,77,43.94,26.17
Sheohar,142.03,11,9.63,6.78
Sitamarhi,486.29,214,181.45,37.31
Siwan,713.00,294,239.95,33.65
Supaul,388.27,196,131.55,33.88
Vaishali,521.76,341,260.69,49.96
