District,Branch,Deposits,Advances,CD Ratio
Araria,167,5837.44,5344.91,91.56
Arwal,67,2340.25,1067.19,45.60
Aurangabad,207,9607.54,5954.49,61.98
Banka,133,5305.92,2795.37,52.68
Begusarai,235,12518.27,9301.48,74.30
Bhagalpur,293,19015.11,9613.68,50.56
Bhojpur,245,13730.76,5821.38,42.40
Buxar,159,7751.61,3448.23,44.48
Darbhanga,257,16211.66,8376.99,51.67
Gaya,328,22124.28,12221.32,55.24
Gopalganj,199,10413.23,5096.55,48.94
Jamui,129,5865.50,2880.43,49.11
Jehanabad,99,4809.06,2111.37,43.90
Kaimur (Bhabua),130,5115.47,3082.52,60.26
Katihar,193,8844.40,6689.23,75.63
Khagaria,119,4776.47,3079.20,64.47
Kishanganj,114,4432.38,3471.82,78.33
Lakhisarai,91,3967.07,1823.51,45.97
Madhepura,122,4654.46,3562.68,76.54
Madhubani,287,11867.49,6524.64,54.98
Munger,142,9220.12,3130.73,33.96
Muzaffarpur,407,25296.58,18828.53,74.43
Nalanda,262,14341.72,5986.17,41.74
Nawada,158,7134.94,3767.36,52.80
Pashchim Champaran,230,8569.91,7253.30,84.64
Patna,1008,177854.75,84994.69,47.79
Purbi Champaran,313,13329.08,10961.04,82.23
Purnia,240,9970.46,9419.12,94.47
Rohtas,251,12954.00,6742.37,52.05
Saharsa,105,5732.87,3851.56,67.18
Samastipur,307,14135.14,8983.59,63.56
Saran,273,16287.15,7410.82,45.50
Sheikhpura,65,2787.51,1366.57,49.02
Sheohar,46,1407.94,1022.44,72.62
Sitamarhi,176,8590.35,5267.26,61.32
Siwan,264,15724.52,7730.83,49.16
Supaul,127,5240.88,3698.60,70.57
Vaishali,265,13648.15,10641.58,77.97
