district,no_of_kcc_for_fisheries_issued_during_quarter_including_renew,amount_disbursed_during_quarter,total_no_of_kcc_for_fisheries_as_on_end_of_current_quarter,outstanding_amount_as_on_end_of_current_quarter,out_of_total_no_of_kcc_for_fisheries_number_of_rupay_card_iss,kcc_card_activate,no_of_kcc_for_fisheriesissued_during_fin_year_including_renew,amount_disbursed_fin_year
Araria,55,0.36,130,1.36,4,4,137,1.24
Arwal,1,0.01,6,0.06,2,1,2,0.02
Aurangabad,3,0.01,32,0.18,2,2,8,0.11
Banka,25,0.78,55,1.76,7,5,55,1.65
Begusarai,64,1.02,136,2.12,1,1,108,2.47
Bhagalpur,40,0.24,104,1.3,2,1,77,0.8
Bhojpur,4,0.03,19,0.16,1,1,8,0.05
Buxar,19,0.04,25,0.09,0,0,22,0.05
Darbhanga,35,0.45,105,2.12,11,4,52,0.74
Gaya,10,0.15,16,0.29,2,2,21,0.4
Gopalganj,57,0.45,158,3.28,8,2,72,0.68
Jamui,3,0,8,0.09,4,3,15,0.04
Jehanabad,9,0.09,38,0.43,3,5,24,0.49
Kaimur (Bhabua),1,0.01,2,0.08,0,0,4,0.03
Katihar,225,1.26,1046,22.24,2,1,255,1.71
Khagaria,72,0.91,91,2.12,0,0,142,2.03
Kishanganj,30,1.35,77,1.97,0,0,103,3.52
Lakhisarai,1,0.05,15,0.15,3,3,6,0.14
Madhepura,16,0.17,87,1.48,1,1,29,0.31
Madhubani,218,1.92,1117,21.63,98,36,581,5.94
Munger,13,0.13,29,0.25,1,0,22,0.16
Muzaffarpur,60,0.79,251,4.15,15,3,117,2.23
Nalanda,51,0.66,73,2.53,12,2,128,1.82
Nawada,2,0.03,12,0.08,1,0,2,0.07
Pashchim Champaran,25,0.32,92,1.27,5,2,65,0.87
Patna,14,0.26,39,0.81,8,5,67,2.41
Purbi Champaran,50,0.55,106,1.82,12,8,103,1.33
Purnia,251,1.76,1133,17.91,1,0,333,2.63
Rohtas,5,0.13,22,0.83,2,3,16,0.5
Saharsa,74,0.39,264,3.36,9,5,123,0.92
Samastipur,55,0.83,96,1.54,5,5,96,1.87
Saran,60,0.44,146,3.28,7,2,93,0.91
Sheikhpura,5,0.15,24,0.73,6,6,13,0.27
Sheohar,10,0.1,22,0.27,1,1,15,0.14
Sitamarhi,21,0.43,44,1.25,5,2,46,1.04
Siwan,30,0.49,144,4.09,34,5,83,2.81
Supaul,7,0.06,92,1.05,0,0,9,0.07
Vaishali,8,0.12,73,1.35,13,5,21,0.62
