district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,3523,40.43,8161,40.43,231.65,40.43
Arwal,1686,2.22,45,2.22,2.67,2.22
Aurangabad,3159,22.73,2862,22.73,90.60,22.73
Banka,3696,3.40,470,3.40,12.72,3.40
Begusarai,3522,35.72,5167,35.72,146.71,35.72
Bhagalpur,5729,8.05,2206,8.05,38.51,8.05
Bhojpur,5186,4.85,210,4.85,4.05,4.85
Buxar,5528,4.43,1047,4.43,18.94,4.43
Darbhanga,4408,30.76,6815,30.76,154.61,30.76
Gaya,11656,10.41,4301,10.41,36.90,10.41
Gopalganj,4363,14.66,2561,14.66,58.70,14.66
Jamui,2956,3.02,579,3.02,19.59,3.02
Jehanabad,2301,4.00,135,4.00,5.87,4.00
Kaimur (Bhabua),3193,12.92,1796,12.92,56.25,12.92
Katihar,2456,71.15,3575,71.15,145.56,71.15
Khagaria,3892,12.86,2554,12.86,65.62,12.86
Kishanganj,1520,76.30,6937,76.30,456.38,76.30
Lakhisarai,1644,2.24,209,2.24,12.71,2.24
Madhepura,2565,28.52,4152,28.52,161.87,28.52
Madhubani,4545,32.29,7449,32.29,163.89,32.29
Munger,2546,1.47,195,1.47,7.66,1.47
Muzaffarpur,10026,21.16,8990,21.16,89.67,21.16
Nalanda,5920,8.70,1403,8.70,23.70,8.70
Nawada,1997,15.12,629,15.12,31.50,15.12
Pashchim Champaran,5136,36.60,10330,36.60,201.13,36.60
Patna,11294,25.42,2655,25.42,23.51,25.42
Purbi Champaran,11049,14.43,8012,14.43,72.51,14.43
Purnia,5155,18.14,4648,18.14,90.16,18.14
Rohtas,4320,13.70,2241,13.70,51.88,13.70
Saharsa,1791,42.21,3475,42.21,194.03,42.21
Samastipur,10458,11.81,6879,11.81,65.78,11.81
Saran,4687,8.54,2088,8.54,44.55,8.54
Sheikhpura,805,3.38,154,3.38,19.13,3.38
Sheohar,1023,24.07,1400,24.07,136.85,24.07
Sitamarhi,3049,43.52,7887,43.52,258.67,43.52
Siwan,5151,11.80,3482,11.80,67.60,11.80
Supaul,2558,18.28,2486,18.28,97.19,18.28
Vaishali,8018,10.99,4867,10.99,60.70,10.99
