district,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_priority_sector_a_c,amt
Araria,773,3463.11,1306,3463.11,6,3463.11,7,3463.11,62835,3463.11,308921,3463.11
Arwal,362,666.44,193,666.44,0,666.44,4,666.44,9184,666.44,56879,666.44
Aurangabad,1359,3069.05,1494,3069.05,3,3069.05,2,3069.05,29266,3069.05,230438,3069.05
Banka,795,1852.45,809,1852.45,1,1852.45,3,1852.45,26379,1852.45,199671,1852.45
Begusarai,1940,6001.92,2724,6001.92,2,6001.92,16,6001.92,40690,6001.92,469133,6001.92
Bhagalpur,2204,5109.64,3953,5109.64,0,5109.64,23,5109.64,54984,5109.64,360407,5109.64
Bhojpur,1368,3132.31,2359,3132.31,2,3132.31,9,3132.31,24830,3132.31,358563,3132.31
Buxar,938,2129.80,1700,2129.80,1,2129.80,5,2129.80,17654,2129.80,175942,2129.80
Darbhanga,2561,4534.72,3075,4534.72,17,4534.72,19,4534.72,42879,4534.72,449342,4534.72
Gaya,3739,7313.82,4360,7313.82,132,7313.82,32,7313.82,47567,7313.82,796019,7313.82
Gopalganj,847,3443.61,1913,3443.61,0,3443.61,4,3443.61,41046,3443.61,339408,3443.61
Jamui,480,1831.15,540,1831.15,1,1831.15,0,1831.15,30666,1831.15,184120,1831.15
Jehanabad,701,1192.81,888,1192.81,0,1192.81,5,1192.81,6537,1192.81,85114,1192.81
Kaimur (Bhabua),693,2145.14,791,2145.14,1,2145.14,6,2145.14,17307,2145.14,150348,2145.14
Katihar,832,4197.41,2021,4197.41,0,4197.41,15,4197.41,38746,4197.41,370347,4197.41
Khagaria,589,2027.59,542,2027.59,7,2027.59,2,2027.59,18807,2027.59,216576,2027.59
Kishanganj,497,2232.00,1182,2232.00,1,2232.00,1,2232.00,39787,2232.00,206273,2232.00
Lakhisarai,595,1114.63,601,1114.63,0,1114.63,1,1114.63,15923,1114.63,109832,1114.63
Madhepura,543,2284.09,754,2284.09,4,2284.09,4,2284.09,20511,2284.09,263810,2284.09
Madhubani,2204,3944.42,1939,3944.42,1,3944.42,15,3944.42,34473,3944.42,402923,3944.42
Munger,767,1504.08,1063,1504.08,0,1504.08,1,1504.08,20744,1504.08,131840,1504.08
Muzaffarpur,3878,10025.08,7198,10025.08,3,10025.08,34,10025.08,94713,10025.08,801600,10025.08
Nalanda,1567,3556.04,1965,3556.04,6,3556.04,38,3556.04,31775,3556.04,255778,3556.04
Nawada,994,2442.16,1643,2442.16,0,2442.16,2,2442.16,29206,2442.16,204516,2442.16
Pashchim Champaran,1308,4626.57,1707,4626.57,5,4626.57,4,4626.57,52139,4626.57,441942,4626.57
Patna,13313,32469.71,31393,32469.71,316,32469.71,88,32469.71,130995,32469.71,2046470,32469.71
Purbi Champaran,1839,7145.20,2344,7145.20,3,7145.20,24,7145.20,98299,7145.20,676939,7145.20
Purnia,1536,5982.60,4474,5982.60,3,5982.60,2,5982.60,43546,5982.60,389064,5982.60
Rohtas,1951,4484.60,2987,4484.60,4,4484.60,15,4484.60,40410,4484.60,276364,4484.60
Saharsa,754,2416.26,915,2416.26,2,2416.26,1,2416.26,16309,2416.26,191859,2416.26
Samastipur,2268,5707.63,2948,5707.63,2,5707.63,19,5707.63,46354,5707.63,507757,5707.63
Saran,1603,4531.11,2034,4531.11,9,4531.11,20,4531.11,61981,4531.11,441478,4531.11
Sheikhpura,406,838.87,495,838.87,0,838.87,4,838.87,10074,838.87,69254,838.87
Sheohar,162,676.45,292,676.45,0,676.45,0,676.45,4769,676.45,59279,676.45
Sitamarhi,1262,3264.42,1496,3264.42,3,3264.42,14,3264.42,19954,3264.42,251721,3264.42
Siwan,1492,5313.26,1849,5313.26,193,5313.26,12,5313.26,63055,5313.26,837616,5313.26
Supaul,722,2153.70,871,2153.70,0,2153.70,6,2153.70,12642,2153.70,176911,2153.70
Vaishali,1925,7490.20,2883,7490.20,0,7490.20,83,7490.20,61825,7490.20,1530314,7490.20
