District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,67,0.96,39463,380.10,10,0.14,14,1.13,0,0.00,36,3.68,39590,386.01
Arwal,28,0.25,2293,13.51,2,0.03,6,0.25,0,0.00,12,0.03,2341,14.07
Aurangabad,61,1.12,8251,68.22,13,0.11,27,1.10,0,0.00,49,0.38,8401,70.93
Banka,27,0.98,5616,46.45,2,0.01,8,0.26,1,0.07,31,0.08,5685,47.85
Begusarai,80,0.79,15900,156.73,483,5.70,16,0.37,2,0.04,40,0.43,16521,164.06
Bhagalpur,225,2.13,22666,220.55,163,1.31,27,0.94,2,0.13,32,7.28,23115,232.34
Bhojpur,159,0.76,18545,103.94,107,0.09,25,1.18,0,0.00,32,2.91,18868,108.88
Buxar,13,0.14,6903,34.35,10,0.07,8,0.28,10,0.00,33,0.15,6977,34.99
Darbhanga,141,1.26,21257,222.46,252,3.51,31,0.94,1,0.06,20,0.28,21702,228.51
Gaya,1613,9.77,48215,316.47,5132,20.17,337,2.40,59,0.10,104,5.78,55460,354.69
Gopalganj,46,1.60,9072,125.45,24,0.88,18,0.31,0,0.00,17,0.09,9177,128.33
Jamui,113,0.85,9171,56.97,5,0.00,11,0.24,0,0.00,22,0.17,9322,58.23
Jehanabad,1,0.01,3200,27.12,0,0.00,3,0.03,0,0.00,4,0.04,3208,27.20
Kaimur (Bhabua),25,0.06,6839,44.87,26,0.04,4,0.05,1,0.06,77,0.17,6972,45.25
Katihar,362,4.38,45733,441.17,17,0.41,92,1.28,0,0.00,19,0.17,46223,447.41
Khagaria,21,0.27,4794,42.81,7,0.11,16,0.06,1,0.02,36,0.17,4875,43.44
Kishanganj,241,3.34,56530,553.15,17,0.17,16,0.42,0,0.00,25,2.18,56829,559.26
Lakhisarai,5,0.06,2584,12.01,1,0.01,5,0.13,1,0.01,10,0.03,2606,12.25
Madhepura,25,0.62,7405,64.01,11,0.02,12,0.24,1,0.00,14,0.09,7468,64.98
Madhubani,43,0.68,15100,171.24,16,1.10,25,0.59,0,0.00,10,0.76,15194,174.37
Munger,197,1.92,4260,44.04,5,0.07,21,0.58,1,0.00,18,0.19,4502,46.80
Muzaffarpur,205,4.42,32872,301.27,385,5.00,60,1.75,1,0.01,53,0.57,33576,313.02
Nalanda,146,1.00,10552,69.78,106,1.00,21,0.63,1,0.01,35,0.44,10861,72.86
Nawada,339,0.85,9904,60.71,34,0.57,7,0.15,0,0.00,103,0.16,10387,62.44
Pashchim Champaran,146,5.55,17641,204.42,30,0.70,56,2.22,0,0.00,26,0.95,17899,213.84
Patna,555,34.71,121610,820.42,1104,12.08,207,17.54,6,0.12,83,3.85,123565,888.72
Purbi Champaran,104,2.39,37460,339.83,349,48.97,64,0.53,3,0.52,58,1.43,38038,393.67
Purnia,246,3.88,49217,552.11,95,1.04,29,1.00,1,0.01,37,30.52,49625,588.56
Rohtas,315,0.78,10682,79.47,13,0.19,134,3.85,0,0.00,33,0.10,11177,84.39
Saharsa,44,1.13,9222,91.12,11,0.03,11,1.05,0,0.00,2,0.01,9290,93.34
Samastipur,68,1.11,14597,142.18,42,0.49,61,0.72,0,0.00,114,0.52,14882,145.02
Saran,65,1.08,10405,114.79,42,0.73,31,0.56,2,0.01,28,0.19,10573,117.36
Sheikhpura,72,1.04,1915,11.93,13,0.12,2,0.05,0,0.00,7,0.15,2009,13.29
Sheohar,2,0.13,1771,17.86,3,0.03,9,0.09,1,0.00,8,0.10,1794,18.21
Sitamarhi,26,0.83,10268,118.35,26,0.56,39,0.55,0,0.00,14,0.15,10373,120.44
Siwan,444,2.47,67502,432.97,172,0.79,9,1.18,0,0.00,21,0.32,68148,437.73
Supaul,42,0.83,7384,78.12,9,0.23,23,0.67,1,0.00,12,0.50,7471,80.35
Vaishali,284,1.85,153153,658.56,82,1.16,38,1.23,2,0.03,44,0.38,153603,663.21
