District,"Loans to weaker sections under
Priority Sector A/c",Amt,"Out of Loans to weaker Sections in
PSL, loans to individual women
beneficiaries up to ₹1 lakh No.",Amt.,"Out of Agriculture, loans to
Small & Marginal Farmers No.",Amt.
Araria,102192,1005.49,47162,264.12,52226,581.30
Arwal,16100,130.83,6554,30.19,12235,81.75
Aurangabad,76751,687.27,27927,140.09,50169,351.33
Banka,69002,760.44,24559,122.90,27411,176.27
Begusarai,133596,1294.46,42609,248.75,65385,575.20
Bhagalpur,116478,1218.48,51260,276.85,57129,458.15
Bhojpur,131734,963.94,33249,172.53,50947,340.57
Buxar,56031,488.65,21416,107.54,35252,208.73
Darbhanga,145712,1316.93,41720,236.08,62928,618.09
Gaya,269940,1920.99,88465,407.34,66276,430.18
Gopalganj,98835,1029.80,30695,174.92,57989,631.70
Jamui,55566,449.44,22347,118.24,33577,198.11
Jehanabad,29386,293.46,6719,33.85,17744,136.44
Kaimur (Bhabua),58613,552.35,19855,100.30,33853,314.09
Katihar,132980,1236.79,39162,216.32,61000,522.12
Khagaria,60977,524.74,22685,115.07,44060,302.38
Kishanganj,82174,853.64,39388,221.22,41181,465.11
Lakhisarai,33304,308.39,9871,52.00,17327,138.45
Madhepura,74260,569.67,25820,142.17,43315,324.79
Madhubani,120257,1212.57,36964,194.07,75944,771.82
Munger,40572,378.72,18598,93.43,20810,135.59
Muzaffarpur,216946,2054.05,105307,566.13,139437,1226.10
Nalanda,88100,787.71,32991,146.47,54845,324.60
Nawada,65292,597.97,28977,133.14,42637,277.39
Pashchim Champaran,135863,1252.27,54344,291.43,88509,811.54
Patna,615959,3958.32,276190,1296.52,256793,1691.37
Purbi Champaran,233381,2116.32,61024,345.50,120193,1195.45
Purnia,129275,1302.80,54836,301.43,78701,749.05
Rohtas,85785,841.54,32353,160.16,54917,389.66
Saharsa,60890,585.75,23567,122.43,34328,361.15
Samastipur,140796,1262.73,55130,311.37,91352,661.82
Saran,155755,1389.99,67666,381.64,85572,784.62
Sheikhpura,21274,193.63,8034,42.73,13216,112.63
Sheohar,20923,212.87,3727,19.73,12162,119.81
Sitamarhi,86153,875.75,26645,159.02,50671,486.75
Siwan,294890,1958.10,65887,363.42,83669,719.18
Supaul,59499,594.39,14431,76.11,36335,366.19
Vaishali,575336,3548.47,47950,275.68,72954,941.52
