District,KCC New Target No.,AMT,Disbursed No.,% Achievement No.,KCC Renew Target No.,Total No. of KCC
Araria,22033,330.38,1015,4.61,40370,62403
Arwal,11941,179.03,528,4.42,14248,26189
Aurangabad,83834,1257.43,2943,3.51,109887,193721
Banka,16274,243.99,3040,18.68,39034,55308
Begusarai,43112,646.59,2651,6.15,81591,124703
Bhagalpur,46438,696.47,4969,10.70,109299,155737
Bhojpur,60091,901.28,2575,4.29,79048,139139
Buxar,54735,820.95,1379,2.52,88249,142984
Darbhanga,40406,605.98,461,1.14,60881,101287
Gaya,57525,862.77,4221,7.34,64742,122267
Gopalganj,56179,842.58,1055,1.88,127979,184158
Jamui,26509,397.55,3553,13.40,36941,63450
Jehanabad,23108,346.56,611,2.64,25322,48430
Kaimur (Bhabua),51077,766.11,1558,3.05,68784,119861
Katihar,30124,451.76,1352,4.49,49818,79942
Khagaria,33472,501.98,2286,6.83,57485,90957
Kishanganj,13826,207.31,715,5.17,23044,36870
Lakhisarai,23772,356.54,1271,5.35,29695,53467
Madhepura,33982,509.69,583,1.72,41280,75262
Madhubani,47559,713.29,625,1.31,92784,140343
Munger,13724,205.8,2629,19.16,22904,36628
Muzaffarpur,59487,892.23,1978,3.33,115770,175257
Nalanda,47303,709.47,3072,6.49,60810,108113
Nawada,34329,514.85,4810,14.01,49507,83836
Pashchim Champaran,36632,549.38,4008,10.94,56380,93012
Patna,86569,1298.4,2030,2.34,163105,249674
Purbi Champaran,77433,1161.4,796,1.03,112645,190078
Purnia,39829,597.41,2384,5.99,65776,105605
Rohtas,61787,926.73,3450,5.58,74148,135935
Saharsa,38197,572.93,889,2.33,46449,84646
Samastipur,62798,941.85,6940,11.05,77310,140108
Saran,57276,859.03,787,1.37,75610,132886
Sheikhpura,10958,164.35,1167,10.65,14134,25092
Sheohar,6384,95.65,289,4.53,18057,24441
Sitamarhi,25470,381.89,570,2.24,66890,92360
Siwan,49951,749.2,815,1.63,85840,135791
Supaul,32338,484.96,1262,3.90,40132,72470
Vaishali,38418,576.11,2511,6.54,61640,100058
