District,KCC - FISHERIES NEW TARGET NO.,AMT,Disbursed No.,% Achievement No.,KCC - FISHERIES RENEW TARGET NO.,TOTAL FISHERIES - AH (NEW+RENEW) TARGET NO.
Araria,1512,7.56,9,0.60,46,1558
Arwal,798,3.99,2,0.25,24,822
Aurangabad,2630,13.15,4,0.15,82,2712
Banka,746,3.73,1,0.13,24,770
Begusarai,3950,19.75,2,0.05,122,4072
Bhagalpur,1144,5.72,23,2.01,36,1180
Bhojpur,2088,10.44,3,0.14,64,2152
Buxar,1144,5.72,18,1.57,36,1180
Darbhanga,1884,9.42,8,0.42,58,1942
Gaya,2860,14.30,3,0.10,88,2948
Gopalganj,2052,10.26,37,1.80,64,2116
Jamui,614,3.07,0,0.00,20,634
Jehanabad,618,3.09,5,0.81,20,638
Kaimur (Bhabua),1948,9.74,0,0.00,60,2008
Katihar,4106,20.53,7,0.17,126,4232
Khagaria,1524,7.62,1,0.07,48,1572
Kishanganj,646,3.23,2,0.31,20,666
Lakhisarai,708,3.54,0,0.00,22,730
Madhepura,936,4.68,2,0.21,28,964
Madhubani,3404,17.02,67,1.97,106,3510
Munger,1282,6.41,7,0.55,40,1322
Muzaffarpur,3432,17.16,23,0.67,106,3538
Nalanda,2212,11.06,2,0.09,68,2280
Nawada,576,2.88,1,0.17,18,594
Patna,1608,8.04,6,0.37,50,1658
Purbi Champaran,2652,13.26,5,0.19,82,2734
Purnia,2600,13.00,1,0.04,80,2680
Rohtas,2108,10.54,1,0.05,66,2174
Saharsa,472,2.36,2,0.42,14,486
Samastipur,4698,23.49,3,0.06,146,4844
Saran,5290,26.45,7,0.13,164,5454
Sheikhpura,782,3.91,1,0.13,24,806
Sheohar,754,3.77,5,0.66,24,778
Sitamarhi,2180,10.90,17,0.78,68,2248
Siwan,6088,30.44,14,0.23,188,6276
Supaul,658,3.29,3,0.46,20,678
Vaishali,6118,30.59,4,0.07,190,6308
