district,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_priority_sector_a_c,amt
Araria,116,2378.22,254,2378.22,7,2378.22,3,2378.22,21577,2378.22,122352,2378.22
Arwal,46,390.70,64,390.70,0,390.70,4,390.70,2735,390.70,20455,390.70
Aurangabad,270,2043.01,328,2043.01,1,2043.01,2,2043.01,9261,2043.01,87982,2043.01
Banka,116,1122.49,142,1122.49,0,1122.49,2,1122.49,9502,1122.49,74550,1122.49
Begusarai,340,3917.97,471,3917.97,1,3917.97,6,3917.97,13910,3917.97,169015,3917.97
Bhagalpur,648,3406.96,718,3406.96,1,3406.96,20,3406.96,22757,3406.96,145298,3406.96
Bhojpur,300,2143.79,582,2143.79,1,2143.79,7,2143.79,8664,2143.79,144532,2143.79
Buxar,170,1170.30,321,1170.30,0,1170.30,3,1170.30,6388,1170.30,64754,1170.30
Darbhanga,492,2975.16,451,2975.16,22,2975.16,10,2975.16,11234,2975.16,173448,2975.16
Gaya,1063,4576.02,930,4576.02,39,4576.02,28,4576.02,15831,4576.02,306638,4576.02
Gopalganj,161,1891.66,305,1891.66,0,1891.66,1,1891.66,10416,1891.66,117437,1891.66
Jamui,79,876.72,138,876.72,1,876.72,0,876.72,10563,876.72,61354,876.72
Jehanabad,159,746.00,276,746.00,0,746.00,3,746.00,1804,746.00,38578,746.00
Kaimur (Bhabua),82,1293.60,225,1293.60,2,1293.60,5,1293.60,7699,1293.60,68200,1293.60
Katihar,170,2534.85,372,2534.85,0,2534.85,1,2534.85,14558,2534.85,156814,2534.85
Khagaria,74,1056.59,86,1056.59,4,1056.59,1,1056.59,5723,1056.59,69004,1056.59
Kishanganj,100,1479.87,199,1479.87,1,1479.87,0,1479.87,18646,1479.87,93603,1479.87
Lakhisarai,87,636.15,112,636.15,0,636.15,1,636.15,5219,636.15,37998,636.15
Madhepura,77,1170.08,75,1170.08,0,1170.08,1,1170.08,6275,1170.08,86486,1170.08
Madhubani,326,2344.53,389,2344.53,1,2344.53,3,2344.53,9482,2344.53,144128,2344.53
Munger,156,817.37,269,817.37,0,817.37,1,817.37,10275,817.37,47270,817.37
Muzaffarpur,809,6343.14,1000,6343.14,2,6343.14,15,6343.14,25468,6343.14,259899,6343.14
Nalanda,288,2207.72,377,2207.72,5,2207.72,36,2207.72,13810,2207.72,118480,2207.72
Nawada,132,1354.94,354,1354.94,1,1354.94,2,1354.94,12376,1354.94,89974,1354.94
Pashchim Champaran,250,2627.75,262,2627.75,2,2627.75,3,2627.75,12988,2627.75,162546,2627.75
Patna,3892,21232.93,5661,21232.93,89,21232.93,83,21232.93,45908,21232.93,694652,21232.93
Purbi Champaran,417,4213.60,540,4213.60,1,4213.60,6,4213.60,27893,4213.60,276454,4213.60
Purnia,309,4026.71,763,4026.71,4,4026.71,2,4026.71,16952,4026.71,163881,4026.71
Rohtas,287,2585.28,500,2585.28,1,2585.28,12,2585.28,12418,2585.28,107508,2585.28
Saharsa,125,1396.97,147,1396.97,2,1396.97,0,1396.97,8626,1396.97,73806,1396.97
Samastipur,416,3572.61,522,3572.61,2,3572.61,6,3572.61,16738,3572.61,174786,3572.61
Saran,295,2647.05,389,2647.05,6,2647.05,1,2647.05,25203,2647.05,181416,2647.05
Sheikhpura,59,424.53,78,424.53,0,424.53,4,424.53,3463,424.53,24370,424.53
Sheohar,37,334.29,53,334.29,0,334.29,0,334.29,524,334.29,24203,334.29
Sitamarhi,222,1831.39,344,1831.39,2,1831.39,4,1831.39,6535,1831.39,103589,1831.39
Siwan,210,3210.41,384,3210.41,54,3210.41,3,3210.41,20495,3210.41,327018,3210.41
Supaul,85,1215.38,123,1215.38,0,1215.38,6,1215.38,4820,1215.38,74200,1215.38
Vaishali,370,5100.50,662,5100.50,3,5100.50,4,5100.50,20674,5100.50,607412,5100.50
