District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,1104.36,11524,714.06,64.66
Arwal,385.82,22251,151.86,39.36
Aurangabad,1045.71,77338,777.35,74.34
Banka,783.81,36388,285.5,36.42
Begusarai,1670.52,69481,1413.1,84.59
Bhagalpur,2165.37,52337,1360.55,62.83
Bhojpur,1618.17,119357,762.09,47.10
Buxar,806.05,80577,455.25,56.48
Darbhanga,1615.60,29613,1080.09,66.85
Gaya,2355.82,153359,1475.1,62.62
Gopalganj,853.71,11806,547.87,64.18
Jamui,636.90,61944,288.67,45.32
Jehanabad,684.58,42864,299.91,43.81
Kaimur (Bhabua),789.97,58412,324.16,41.03
Katihar,1474.82,12053,743.61,50.42
Khagaria,713.34,85430,346.97,48.64
Kishanganj,726.41,8316,327.78,45.12
Lakhisarai,569.08,41412,271.39,47.69
Madhepura,786.34,7770,353.11,44.91
Madhubani,1606.44,20403,797.13,49.62
Munger,874.62,36015,351.12,40.15
Muzaffarpur,2974.68,29849,2276.25,76.52
Nalanda,1425.91,123748,954.28,66.92
Nawada,757.37,124333,505.55,66.75
Pashchim Champaran,1365.40,15496,824.46,60.38
Patna,10470.16,94555,6485.58,61.94
Purbi Champaran,1896.83,19703,1211.74,63.88
Purnia,1670.97,24844,1428.27,85.48
Rohtas,1489.84,112744,964.63,64.75
Saharsa,702.19,9475,461.74,65.76
Samastipur,1874.15,116095,1514.97,80.84
Saran,1782.67,16694,863.86,48.46
Sheikhpura,369.44,20687,184.28,49.88
Sheohar,312.46,2533,98,31.36
Sitamarhi,1069.83,13617,684.63,63.99
Siwan,1568.61,25434,872.27,55.61
Supaul,854.19,9663,407.18,47.67
Vaishali,1147.86,17152,1013.29,88.28
