district,sc_disbursement_no,amt,outstanding_no,amt,st_disbursement_no,amt,outstanding_no,amt
Araria,8481,73.35,25659,73.35,13148,73.35,25659,73.35
Arwal,1148,10.43,1319,10.43,172,10.43,1319,10.43
Aurangabad,10665,61.2,10156,61.2,1536,61.2,10156,61.2
Banka,4261,80.57,9951,80.57,1038,80.57,9951,80.57
Begusarai,13241,74.4,12769,74.4,1684,74.4,12769,74.4
Bhagalpur,8659,229.38,14159,229.38,2649,229.38,14159,229.38
Bhojpur,22317,180.24,63582,180.24,7580,180.24,63582,180.24
Buxar,4266,43.04,6894,43.04,776,43.04,6894,43.04
Darbhanga,32666,184.28,108546,184.28,87400,184.28,108546,184.28
Gaya,77403,712.13,172409,712.13,20955,712.13,172409,712.13
Gopalganj,14366,103.73,55679,103.73,32728,103.73,55679,103.73
Jamui,6631,79.08,9620,79.08,996,79.08,9620,79.08
Jehanabad,1983,108.74,6092,108.74,289,108.74,6092,108.74
Kaimur (Bhabua),6592,46.19,6033,46.19,930,46.19,6033,46.19
Katihar,16298,199.16,29658,199.16,16509,199.16,29658,199.16
Khagaria,4797,29.57,2554,29.57,588,29.57,2554,29.57
Kishanganj,9698,71.19,16395,71.19,7847,71.19,16395,71.19
Lakhisarai,3105,18.8,2665,18.8,450,18.8,2665,18.8
Madhepura,7874,49.94,37909,49.94,22844,49.94,37909,49.94
Madhubani,17113,88.13,124753,88.13,117378,88.13,124753,88.13
Munger,3789,64.53,3800,64.53,460,64.53,3800,64.53
Muzaffarpur,39624,179.59,104010,179.59,71238,179.59,104010,179.59
Nalanda,9517,54.31,8395,54.31,676,54.31,8395,54.31
Nawada,7476,44.75,7264,44.75,705,44.75,7264,44.75
Pashchim Champaran,62301,209.09,70053,209.09,35740,209.09,70053,209.09
Patna,174523,841.76,253424,841.76,39053,841.76,253424,841.76
Purbi Champaran,27840,224.24,82552,224.24,34224,224.24,82552,224.24
Purnia,17344,207.99,52979,207.99,24063,207.99,52979,207.99
Rohtas,8673,71,9113,71,1244,71,9113,71
Saharsa,7416,68.54,28947,68.54,18395,68.54,28947,68.54
Samastipur,19352,147.55,24401,147.55,2541,147.55,24401,147.55
Saran,33716,171.11,61601,171.11,38600,171.11,61601,171.11
Sheikhpura,2063,17.81,2505,17.81,209,17.81,2505,17.81
Sheohar,1440,8.71,13592,8.71,8494,8.71,13592,8.71
Sitamarhi,6806,44.36,22025,44.36,16105,44.36,22025,44.36
Siwan,83136,618.44,275916,618.44,67755,618.44,275916,618.44
Supaul,6545,64.29,42317,64.29,33398,64.29,42317,64.29
Vaishali,173179,1222.93,564883,1222.93,105106,1222.93,564883,1222.93
