district,target_no,amt,achie_no,amt,achie_no,amt,outstanding_no,amt,npa_no,amt,npa_no,amt
Araria,1437,2.56,17.68,2.56,17.68,2.56,1306,2.56,9.65,2.56,9.65,2.56
Arwal,456,3.18,14.04,3.18,14.04,3.18,193,3.18,5.18,3.18,5.18,3.18
Aurangabad,1587,1.66,20.67,1.66,20.67,1.66,1494,1.66,2.95,1.66,2.95,1.66
Banka,3076,1.22,4.62,1.22,4.62,1.22,809,1.22,3.46,1.22,3.46,1.22
Begusarai,4496,1.55,10.48,1.55,10.48,1.55,2724,1.55,5.40,1.55,5.40,1.55
Bhagalpur,4419,0.94,16.25,0.94,16.25,0.94,3953,0.94,2.00,0.94,2.00,0.94
Bhojpur,1739,1.84,33.47,1.84,33.47,1.84,2359,1.84,4.37,1.84,4.37,1.84
Buxar,1178,1.18,27.25,1.18,27.25,1.18,1700,1.18,2.35,1.18,2.35,1.18
Darbhanga,2390,0.90,18.87,0.90,18.87,0.90,3075,0.90,1.72,0.90,1.72,0.90
Gaya,2517,1.79,36.95,1.79,36.95,1.79,4360,1.79,3.12,1.79,3.12,1.79
Gopalganj,1357,2.32,22.48,2.32,22.48,2.32,1913,2.32,39.83,2.32,39.83,2.32
Jamui,1761,0.47,7.84,0.47,7.84,0.47,540,0.47,3.52,0.47,3.52,0.47
Jehanabad,882,1.40,31.29,1.40,31.29,1.40,888,1.40,1.91,1.40,1.91,1.40
Kaimur (Bhabua),860,2.90,26.16,2.90,26.16,2.90,791,2.90,4.30,2.90,4.30,2.90
Katihar,1986,1.42,18.73,1.42,18.73,1.42,2021,1.42,4.85,1.42,4.85,1.42
Khagaria,902,2.44,9.53,2.44,9.53,2.44,542,2.44,3.69,2.44,3.69,2.44
Kishanganj,2846,6.72,6.99,6.72,6.99,6.72,1182,6.72,23.60,6.72,23.60,6.72
Lakhisarai,594,1.60,18.86,1.60,18.86,1.60,601,1.60,2.50,1.60,2.50,1.60
Madhepura,2993,3.22,2.51,3.22,2.51,3.22,754,3.22,14.46,3.22,14.46,3.22
Madhubani,3151,0.88,12.35,0.88,12.35,0.88,1939,0.88,3.20,0.88,3.20,0.88
Munger,1509,2.16,17.83,2.16,17.83,2.16,1063,2.16,3.57,2.16,3.57,2.16
Muzaffarpur,2874,1.51,34.79,1.51,34.79,1.51,7198,1.51,2.42,1.51,2.42,1.51
Nalanda,1897,2.22,19.87,2.22,19.87,2.22,1965,2.22,2.85,2.22,2.85,2.22
Nawada,2142,0.93,16.53,0.93,16.53,0.93,1643,0.93,2.25,0.93,2.25,0.93
Pashchim Champaran,855,0.73,30.64,0.73,30.64,0.73,1707,0.73,1.46,0.73,1.46,0.73
Patna,51880,0.90,10.91,0.90,10.91,0.90,31393,0.90,1.54,0.90,1.54,0.90
Purbi Champaran,2778,1.02,19.44,1.02,19.44,1.02,2344,1.02,2.56,1.02,2.56,1.02
Purnia,4894,2.28,15.59,2.28,15.59,2.28,4474,2.28,11.76,2.28,11.76,2.28
Rohtas,2210,3.53,22.62,3.53,22.62,3.53,2987,3.53,5.66,3.53,5.66,3.53
Saharsa,750,1.45,19.60,1.45,19.60,1.45,915,1.45,7.21,1.45,7.21,1.45
Samastipur,3114,0.98,16.76,0.98,16.76,0.98,2948,0.98,2.04,0.98,2.04,0.98
Saran,8622,1.33,4.51,1.33,4.51,1.33,2034,1.33,4.62,1.33,4.62,1.33
Sheikhpura,526,0.99,14.83,0.99,14.83,0.99,495,0.99,2.83,0.99,2.83,0.99
Sheohar,368,2.47,14.40,2.47,14.40,2.47,292,2.47,20.55,2.47,20.55,2.47
Sitamarhi,1071,1.44,32.12,1.44,32.12,1.44,1496,1.44,3.74,1.44,3.74,1.44
Siwan,4205,1.59,9.13,1.59,9.13,1.59,1849,1.59,2.65,1.59,2.65,1.59
Supaul,1031,2.90,11.93,2.90,11.93,2.90,871,2.90,15.04,2.90,15.04,2.90
Vaishali,8767,2.18,7.55,2.18,7.55,2.18,2883,2.18,11.17,2.18,11.17,2.18
