district,loans_to_weaker_sections_under_priority_sector_no,amt,out_of_loans_to_weaker_sections_in_psl_loans_to_individual_w,amt,agriculture_loans_to_small_marginal_farmers_no,amt
Araria,19622,1193.51,102166,1193.51,154861,1193.51
Arwal,5949,309.33,19449,309.33,35447,309.33
Aurangabad,14166,1392.66,76138,1392.66,156614,1392.66
Banka,25553,653.46,69477,653.46,94235,653.46
Begusarai,62234,1751.56,125177,1751.56,212530,1751.56
Bhagalpur,64584,1279.56,139918,1279.56,172083,1279.56
Bhojpur,39563,1099.42,92307,1099.42,135465,1099.42
Buxar,16563,952.92,57871,952.92,118667,952.92
Darbhanga,40154,926.89,81591,926.89,149032,926.89
Gaya,30170,2218.93,246209,2218.93,239637,2218.93
Gopalganj,393,1178.65,75212,1178.65,152184,1178.65
Jamui,13908,940.06,63805,940.06,116763,940.06
Jehanabad,12076,536.10,20536,536.10,52391,536.10
Kaimur (Bhabua),4317,1033.76,41976,1033.76,107390,1033.76
Katihar,21464,1221.12,83728,1221.12,136434,1221.12
Khagaria,26622,1187.40,66421,1187.40,161502,1187.40
Kishanganj,3911,867.18,60713,867.18,110049,867.18
Lakhisarai,8910,534.65,34537,534.65,63788,534.65
Madhepura,19906,980.40,59522,980.40,160572,980.40
Madhubani,20080,1262.39,75470,1262.39,236252,1262.39
Munger,16062,488.67,48972,488.67,68019,488.67
Muzaffarpur,234276,2845.09,355086,2845.09,483090,2845.09
Nalanda,24907,1482.63,73270,1482.63,143945,1482.63
Nawada,19950,1182.53,71626,1182.53,122473,1182.53
Pashchim Champaran,11459,1666.20,123050,1666.20,228400,1666.20
Patna,883314,4364.82,1015400,4364.82,959566,4364.82
Purbi Champaran,31028,2733.15,149002,2733.15,317590,2733.15
Purnia,46990,1530.70,123230,1530.70,195862,1530.70
Rohtas,19924,1636.70,88079,1636.70,172581,1636.70
Saharsa,37665,1051.48,54260,1051.48,119117,1051.48
Samastipur,82030,2305.25,164600,2305.25,311455,2305.25
Saran,16348,1524.51,152552,1524.51,205426,1524.51
Sheikhpura,5907,372.28,23855,372.28,41391,372.28
Sheohar,2184,267.88,8388,267.88,30496,267.88
Sitamarhi,11336,1240.40,48921,1240.40,143422,1240.40
Siwan,64786,1358.75,181515,1358.75,222987,1358.75
Supaul,844,974.56,23353,974.56,92910,974.56
Vaishali,14975,1434.83,95314,1434.83,172580,1434.83
